"A comparison of the effectiveness of landmark-guided injections and ultrasonography guided injections for shoulder pain.";"Our results indicate that the injection of corticosteroids to patients with shoulder pain due to soft tissue disorders under the USG-guidance may improve therapeutic effectiveness and reduce adverse effects.";"2016-08-08 11:29:45"
"A comparison of the Mogen and Gomco clamps in combination with dorsal penile nerve block in minimizing the pain of neonatal circumcision.";"DPNB is effective in reducing neonatal circumcision pain with either the Mogen or the Gomco clamp. For a given anesthesia condition, the Mogen clamp is associated with a less painful procedure than the Gomco. The Mogen clamp with DPNB causes the least discomfort during neonatal circumcision.";"2016-08-08 17:29:17"
"A double-blind comparison of citalopram and risperidone for the treatment of behavioral and psychotic symptoms associated with dementia.";"No statistical difference was found in the efficacy of citalopram and risperidone for the treatment of either agitation or psychotic symptoms in patients with dementia. These findings need to be replicated before citalopram or other serotonergic antidepressants can be recommended as alternatives to antipsychotics for the treatment of agitation or psychotic symptoms associated with dementia.";"2016-08-08 17:29:17"
"A double-blind, randomized study evaluating losartan potassium monotherapy or in combination with hydrochlorothiazide versus placebo in obese patients with hypertension.";"We conclude that losartan alone or in combination with HCTZ was generally well tolerated and effective in the treatment of elevated systolic and diastolic BP in obese patients with hypertension. TRIAL REGISTRATION: ClinicalTrials.gov NCT00289887.";"2016-08-08 17:29:17"
"A double-blind, randomized, controlled trial of tongue-tie division and its immediate effect on breastfeeding.";"There is a real, immediate improvement in breastfeeding, detectable by the mother, which is sustained and does not appear to be due to a placebo effect.";"2016-08-08 11:29:45"
"A longitudinal, population-based, cohort study of childhood asthma followed to adulthood.";"In an unselected birth cohort, more than one in four children had wheezing that persisted from childhood to adulthood or that relapsed after remission. The factors predicting persistence or relapse were sensitization to house dust mites, airway hyperresponsiveness, female sex, smoking, and early age at onset. These findings, together with persistently low lung function, suggest that outcomes in adult asthma may be determined primarily in early childhood. Copyright 2003 Massachusetts Medical Society";"2016-08-08 17:29:17"
"A randomized placebo-controlled trial of single-dose IM corticosteroid for radicular low back pain.";"This study was a negative study, though there was a suggestion of benefit of methylprednisolone acetate in a population of young adults with acute radicular low back pain. Further work with a larger sample of patients is needed.";"2016-08-08 17:29:17"
"A Randomized Trial of Intensive versus Standard Blood-Pressure Control.";"Among patients at high risk for cardiovascular events but without diabetes, targeting a systolic blood pressure of less than 120 mm Hg, as compared with less than 140 mm Hg, resulted in lower rates of fatal and nonfatal major cardiovascular events and death from any cause, although significantly higher rates of some adverse events were observed in the intensive-treatment group. (Funded by the National Institutes of Health; ClinicalTrials.gov number, NCT01206062.).";"2016-08-08 10:41:37"
"A randomized, double-blind, controlled study of ultrasound-guided corticosteroid injection into the joint of patients with inflammatory arthritis.";"US guidance significantly improves the accuracy of joint injection, allowing a trainee to rapidly achieve higher accuracy than more experienced rheumatologists. US guidance did not improve the short-term outcome of joint injection.";"2016-08-08 11:29:45"
"A systematic review and meta-analysis of a brief delay in clamping the umbilical cord of preterm infants.";"The procedure of a delayed cord clamping time of at least 30 s is safe to use and does not compromise the preterm infant in the initial post-partum adaptation phase. (c) 2007 S. Karger AG, Basel";"2016-08-08 17:29:17"
"A systematic review of medical therapy to facilitate passage of ureteral calculi.";"Our results suggest that ""medical expulsive therapy,"" using either alpha-antagonists or calcium channel blockers, augments the stone expulsion rate compared to standard therapy for moderately sized distal ureteral stones.";"2016-08-08 17:29:17"
"A systematic review of xuezhikang, an extract from red yeast rice, for coronary heart disease complicated by dyslipidemia.";"bjective. This systematic review aims to evaluate the benefit and side effect of Xuezhikang for coronary heart disease (CHD) complicated by dyslipidemia. Methods. All randomized clinical trials (RCTs) with Xuezhikang as a treatment for CHD combined with dyslipidemia were considered for inclusion. Data extraction and analyses and quality assessment were conducted according to the Cochrane standards. Results. We included 22 randomized trials. Xuezhikang showed significant benefit on the incidence of all-cause deaths, CHD deaths, myocardial infarction, and revascularization as compared with placebo based on conventional treatment for CHD. It remarkably lowered total cholesterol (TC), triglyceride (TG), and low-density lipoprotein-cholesterol (LDL-C) as compared with the placebo or inositol nicotinate group, which was similar to statins group. Xuezhikang also raised high-density lipoprotein cholesterol (HDL-C) compared to placebo or no intervention, which was similar to Inositol nicotinate and slightly inferior to statins. The incidence of adverse events did not differ between the Xuezhikang and control group. Conclusions. Xuezhikang showed a comprehensive lipid-regulating effect and was safe and effective in reducing cardiovascular events in CHD patients complicated by dyslipidemia. However, more rigorous trials with high quality are needed to give high level of evidence.";"2016-08-08 11:29:45"
"Accuracy of the pelvic examination in detecting adnexal masses.";"Bimanual pelvic examination has marked limitations for evaluating adnexa, even with ideal circumstances. Experience during postgraduate training in gynecology did not seem to improve examination accuracy. Patient characteristics such as obesity, uterine size, and abdominal scars limit the accurate palpation of the adnexa.";"2016-08-08 11:29:45"
"Active transport of nitrofurantoin into human milk.";"Nitrofurantoin is actively transported into human milk, achieving concentrations in milk greatly exceeding those in serum. Concern is warranted for suckling infants younger than 1 month old, or for infants with a high frequency of glucose-6-phosphate dehydrogenase deficiency or sensitivity to nitrofurantoin.";"2016-08-08 11:29:45"
"Acupuncture for menopausal hot flushes.";"We found insufficient evidence to determine whether acupuncture is effective for controlling menopausal vasomotor symptoms. When we compared acupuncture with sham acupuncture, there was no evidence of a significant difference in their effect on menopausal vasomotor symptoms. When we compared acupuncture with no treatment there appeared to be a benefit from acupuncture, but acupuncture appeared to be less effective than HT. These findings should be treated with great caution as the evidence was low or very low quality and the studies comparing acupuncture versus no treatment or HT were not controlled with sham acupuncture or placebo HT. Data on adverse effects were lacking.";"2016-08-08 10:41:37"
"Acupuncture relieves pelvic and low-back pain in late pregnancy.";"Acupuncture relieves low-back and pelvic pain without serious adverse effects in late pregnancy.";"2016-08-08 11:29:45"
"Adult outcome of hyperactive boys. Educational achievement, occupational rank, and psychiatric status.";"Childhood ADHD predicts specific adult psychiatric disorders, namely antisocial and drug abuse disorders. In the adolescent outcome of this cohort, we found that these disturbances were dependent on the continuation of ADHD symptoms. In contrast, in adulthood, antisocial and drug disorders appeared, in part, independent of sustained ADHD. In addition, regardless of psychiatric status, ADHD placed children at relative risk for educational and vocational disadvantage. The results do not support a relationship between childhood ADHD and adult mood or anxiety disorders.";"2016-08-08 17:29:17"
"Adverse effects of the common treatments for polycystic ovary syndrome: a systematic review and meta-analysis.";"Drugs commonly used to treat PCOS appear to be associated with very low risk of severe adverse effects although data are extrapolated from other populations.";"2016-08-08 10:41:37"
"An evaluation of a chemical cautery agent and an anti-inflammatory ointment for the treatment of recurrent aphthous stomatitis: a pilot study.";"Patients subjectively reported significantly greater relief from symptoms with Debacterol than with Kenalog-in-Orabase or no treatment. The relief of symptoms associated with recurrent aphthous stomatitis may or may not correspond to clinical improvement, and these two topical medications may affect signs and symptoms of the lesions differently.";"2016-08-08 17:29:17"
"An evaluation of the effects of sucrose on neonatal pain with 2 commonly used circumcision methods.";"On the basis of these and other findings on pain prevention and amelioration, we recommend that a local anesthetic be administered in advance of circumcision and that the Mogen procedure be used, unless contraindicated. We also recommend that infants be given a sweetened pacifier before, during, and after circumcision if the Gomco method is used.";"2016-08-08 17:29:17"
"Analyzing prior clinical events at presentation in 102 women with vulvar carcinoma. Evidence of diagnostic delays.";"Avoidable factors appear to be present in many women who present with vulvar cancer. A more active approach to the diagnosis and management of precursor lesions may often prevent the development of vulvar cancer.";"2016-08-08 11:29:45"
"Ankyloglossia: assessment, incidence, and effect of frenuloplasty on the breastfeeding dyad.";"Ankyloglossia is a relatively common finding in the newborn population and represents a significant proportion of breastfeeding problems. Poor infant latch and maternal nipple pain are frequently associated with this finding. Careful assessment of the lingual function, followed by frenuloplasty when indicated, seems to be a successful approach to the facilitation of breastfeeding in the presence of significant ankyloglossia.";"2016-08-08 17:29:17"
"Ankyloglossia: incidence and associated feeding difficulties.";"Ankyloglossia, which is a relatively common finding in the newborn population, adversely affects breastfeeding in selected infants.";"2016-08-08 17:29:17"
"Antibiotics and topical nasal steroid for treatment of acute maxillary sinusitis: a randomized controlled trial.";"Neither an antibiotic nor a topical steroid alone or in combination was effective as a treatment for acute sinusitis in the primary care setting. TRIAL REGISTRATION: isrctn.org Identifier: ISRCTN60825437.";"2016-08-08 15:38:18"
"Antidepressants for agitation and psychosis in dementia.";"Currently there are relatively few studies of antidepressants for the treatment of agitation and psychosis in dementia. The SSRIs sertraline and citalopram were associated with a reduction in symptoms of agitation when compared to placebo in two studies. Both SSRIs and trazodone appear to be tolerated reasonably well when compared to placebo, typical antipsychotics and atypical antipsychotics. Future studies involving more subjects are required to determine if SSRIs, trazodone, or other antidepressants are safe and effective treatments for agitation and psychosis in dementia.";"2016-08-08 11:29:45"
"Antidepressants for smoking cessation.";"The antidepressants bupropion and nortriptyline aid long-term smoking cessation. Adverse events with either medication appear to rarely be serious or lead to stopping medication. Evidence suggests that the mode of action of bupropion and nortriptyline is independent of their antidepressant effect and that they are of similar efficacy to nicotine replacement. Evidence also suggests that bupropion is less effective than varenicline, but further research is needed to confirm this finding. Evidence suggests that neither selective serotonin reuptake inhibitors (e.g. fluoxetine) nor monoamine oxidase inhibitors aid cessation.";"2016-08-08 11:29:45"
"Antipsychotic drug use and mortality in older adults with dementia.";"Atypical antipsychotic use is associated with an increased risk for death compared with nonuse among older adults with dementia. The risk for death may be greater with conventional antipsychotics than with atypical antipsychotics.";"2016-08-08 17:29:17"
"Anxiolytics for smoking cessation.";"There is no consistent evidence that anxiolytics aid smoking cessation, but the available evidence does not rule out a possible effect.";"2016-08-08 17:29:17"
"Aphthous ulcers (recurrent).";"In this systematic review we present information relating to the effectiveness and safety of the following interventions: analgesics (local), carbenoxolone mouthwash, chlorhexidine (and similar agents), corticosteroids (topical), and tetracycline antibiotic mouthwash.";"2016-08-08 17:29:17"
"Are antibiotics effective for acute purulent rhinitis? Systematic review and meta-analysis of placebo controlled randomised trials.";"Antibiotics are probably effective for acute purulent rhinitis. They can cause harm, usually in the form of gastrointestinal effects. Most patients will get better without antibiotics, supporting the current ""no antibiotic as first line"" advice.";"2016-08-08 15:38:18"
"Assessment of shoulder function in rheumatoid arthritis.";"The SFA Scale is a reliable, valid, and accurate measure of shoulder function in patients with RA that can be completed within 3 minutes.";"2016-08-08 11:29:45"
"Association between soy isoflavone intake and breast cancer risk for pre- and post-menopausal women: a meta-analysis of epidemiological studies.";"We meta-analyzed more and newer research results, and separated women according to menopausal status to explore soy isoflavone-breast cancer association. We founded that soy isoflavone intake could lower the risk of breast cancer for both pre- and post-menopausal women in Asian countries. However, for women in Western countries, pre- or post-menopausal, there is no evidence to suggest an association between intake of soy isoflavone and breast cancer.";"2016-08-08 10:41:37"
"Asthma and wheezing in the first six years of life. The Group Health Medical Associates.";"The majority of infants with wheezing have transient conditions associated with diminished airway function at birth and do not have increased risks of asthma or allergies later in life. In a substantial minority of infants, however, wheezing episodes are probably related to a predisposition to asthma.";"2016-08-08 17:29:17"
"Auricular acupuncture as a treatment for pregnant women who have low back and posterior pelvic pain: a pilot study.";"One week of continuous auricular acupuncture decreases the pain and disability experienced by women with pregnancy-related low back and posterior pelvic pain.";"2016-08-08 11:29:45"
"Azelaic acid 15% gel once daily versus twice daily in papulopustular rosacea.";"Based on these findings and those of prior studies, once-daily AzA 15% gel can therefore be utilized as a safe, effective, and economical dosing option for the treatment of mild-to-moderate papulopustular rosacea. Once-daily dosing of AzA 15% gel was well accepted by patients and can offer considerable dosing flexibility and convenience for the patient as well as for the dermatologist.";"2016-08-08 17:29:17"
"Azithromycin versus tetracycline in the treatment of acne vulgaris.";"Azithromycin is a safe and effective alternative in the treatment of inflammatory acne.";"2016-08-08 17:29:17"
"Beneficial effects of the bioflavonoids curcumin and quercetin on early function in cadaveric renal transplantation: a randomized placebo controlled trial.";"Bioflavonoid therapy improved early graft function. Acute rejection and neurotoxicity were lowest in the high dose group. These bioflavonoids improve early outcomes in cadaveric renal transplantation, possibly through HO-1 induction.";"2016-08-08 17:29:17"
"Beneficial use of Cetaphil moisturizing cream as part of a daily skin care regimen for individuals with rosacea.";"It can thus be concluded that in the management of rosacea, basic skin care regimens, including daily use of a therapeutic moisturizer, offer optimal benefits.";"2016-08-08 17:29:17"
"Benefits of ? blockers in patients with heart failure and reduced ejection fraction: network meta-analysis.";"The benefits of ? blockers in patients with heart failure with reduced ejection fraction seem to be mainly due to a class effect, as no statistical evidence from current trials supports the superiority of any single agent over the others.";"2016-08-08 11:29:45"
"Benefits of niacin in patients with versus without the metabolic syndrome and healed myocardial infarction (from the Coronary Drug Project).";"his post hoc analysis from the Coronary Drug Project (CDP) evaluated the effects of niacin monotherapy on clinical outcomes in patients with and without the metabolic syndrome (MS). The CDP was a randomized, placebo-controlled clinical trial of lipid-modifying agents in men with previous myocardial infarction (MI). Of the 5 drug regimens, only niacin significantly decreased definite recurrent nonfatal MI at 6 years and total mortality at a 15-year follow-up. Patients treated with niacin (n = 1,119) and placebo (n = 2,787) were grouped according to the presence or absence of the MS at baseline. The MS was defined on the basis of meeting > or =3 of 5 criteria from the current National Cholesterol Education Program guidelines in a small subgroup of patients with high-density lipoprotein cholesterol determinations at baseline and on the basis of > or =3 of 4 criteria in the total population, excluding the high-density lipoprotein cholesterol criterion. Niacin decreased the occurrence of 6-year MI and 15-year total mortality similarly among patients with or without the MS. For example, in the total population, 15-year total mortality rates were 60% and 64% (hazard ratio 0.86) in patients with the MS treated with niacin and placebo, respectively, and 50% and 57% (hazard ratio 0.86) in those without the MS (Z for interaction = 0.06, indicating homogeneity of the treatment effect across groups). In conclusion, these results support the use of niacin in postinfarction patients with and without the MS.";"2016-08-08 17:29:17"
"beta Blockade after myocardial infarction: systematic review and meta regression analysis.";"beta Blockers are effective in long term secondary prevention after myocardial infarction, but they are underused in such cases and lead to avoidable mortality and morbidity.";"2016-08-08 17:29:17"
"Beyond dorsal penile nerve block: a more humane circumcision.";"When neonatal circumcisions are performed routinely, they should be done as humanely as possible. This study demonstrates that, when used in conjunction with DPNB, a pacifier dipped in 24% sucrose and a more comfortable, padded, and physiologic restraint can be useful in decreasing distress and pain.";"2016-08-08 17:29:17"
"Black cohosh (Cimicifuga spp.) for menopausal symptoms.";"There is currently insufficient evidence to support the use of black cohosh for menopausal symptoms. However, there is adequate justification for conducting further studies in this area. The uncertain quality of identified trials highlights the need for improved reporting of study methods, particularly with regards to allocation concealment and the handling of incomplete outcome data. The effect of black cohosh on other important outcomes, such as health-related quality of life, sexuality, bone health, night sweats and cost-effectiveness also warrants further investigation.";"2016-08-08 10:41:37"
"Blood pressure targets for hypertension in people with diabetes mellitus.";"At the present time, evidence from randomized trials does not support blood pressure targets lower than the standard targets in people with elevated blood pressure and diabetes. More randomized controlled trials are needed, with future trials reporting total mortality, total serious adverse events as well as cardiovascular and renal events.";"2016-08-08 10:41:37"
"Blood pressure targets in patients with coronary artery disease: observations from traditional and Bayesian random effects meta-analysis of randomised trials.";"The present body of evidence suggests that in patients with CAD, intensive systolic BP control to ? 135 mm Hg and possibly to ? 130 mm Hg is associated with a modest reduction in stroke and heart failure but at the expense of hypotension. Lower was better, although not consistently so for myocardial infarction, stroke, heart failure and perhaps angina. Further trials are needed to prove these findings.";"2016-08-08 10:41:37"
"Canadian Network for Mood and Anxiety Treatments (CANMAT) Clinical guidelines for the management of major depressive disorder in adults. V. Complementary and alternative medicine treatments.";"Some CAM treatments have evidence of benefit in MDD. However, problems with standardization and safety concerns may limit their applicability in clinical practice.";"2016-08-08 11:29:45"
"Carbohydrate nutrition, insulin resistance, and the prevalence of the metabolic syndrome in the Framingham Offspring Cohort.";"Whole-grain intake, largely attributed to the cereal fiber, is inversely associated with HOMA-IR and a lower prevalence of the metabolic syndrome. Dietary glycemic index is positively associated with HOMA-IR and prevalence of the metabolic syndrome. Given that both a high cereal fiber content and lower glycemic index are attributes of whole-grain foods, recommendation to increase whole-grain intake may reduce the risk of developing the metabolic syndrome.";"2016-08-08 11:29:45"
"Cinnamon improves glucose and lipids of people with type 2 diabetes.";"The results of this study demonstrate that intake of 1, 3, or 6 g of cinnamon per day reduces serum glucose, triglyceride, LDL cholesterol, and total cholesterol in people with type 2 diabetes and suggest that the inclusion of cinnamon in the diet of people with type 2 diabetes will reduce risk factors associated with diabetes and cardiovascular diseases.";"2016-08-08 17:29:17"
"Cinnamon in glycaemic control: Systematic review and meta analysis.";"Use of cinnamon showed a beneficial effect on glycaemic control (both HbA1c and FPG) and the short term (<4 months) effects of the use of cinnamon on glycaemic control looks promising. Copyright © 2012 Elsevier Ltd and European Society for Clinical Nutrition and Metabolism. All rights reserved.";"2016-08-08 11:29:45"
"Clinic-based support to help overweight patients with type 2 diabetes increase physical activity and lose weight.";"A brief intervention to increase the dialogue between patients and health care providers about behavioral goals can lead to increased physical activity and weight loss.";"2016-08-08 17:29:17"
"Clinical observation on trigonella foenum-graecum L. total saponins in combination with sulfonylureas in the treatment of type 2 diabetes mellitus.";"The combined therapy of TFGs with sulfonylureas hypoglycemic drug could lower the blood glucose level and ameliorate clinical symptoms in the treatment of T2DM, and the therapy was relatively safe.";"2016-08-08 11:29:45"
"Colchicine for prophylaxis of acute flares when initiating allopurinol for chronic gouty arthritis.";"Colchicine prophylaxis during initiation of allopurinol for chronic gouty arthritis reduces the frequency and severity of acute flares, and reduces the likelihood of recurrent flares. Treating patients with colchicine during initiation of allopurinol therapy for 6 months is supported by our data.";"2016-08-08 11:29:45"
"Combination therapy versus monotherapy in reducing blood pressure: meta-analysis on 11,000 participants from 42 trials.";"Blood pressure reduction from combining drugs from these 4 classes can be predicted on the basis of additive effects. The extra blood pressure reduction from combining drugs from 2 different classes is approximately 5 times greater than doubling the dose of 1 drug.";"2016-08-08 17:29:17"
"Combination treatment with curcumin and quercetin of adenomas in familial adenomatous polyposis.";"The combination of curcumin and quercetin appears to reduce the number and size of ileal and rectal adenomas in patients with FAP without appreciable toxicity. Randomized controlled trials are needed to validate these findings.";"2016-08-08 17:29:17"
"Comparison between single-dose oral prednisolone and oral dexamethasone in the treatment of croup: a randomized, double-blinded clinical trial.";"Both prednisolone 1 mg/kg and low-dose dexamethasone (0.15 mg/kg) were found not to differ in efficacy from the currently recommended 0.6 mg/kg dexamethasone. The use of these corticosteroid regimens in treating patients with mild to moderate croup is thus supported.";"2016-08-08 17:29:17"
"Comparison of Crocus sativus L. and imipramine in the treatment of mild to moderate depression: a pilot double-blind randomized trial [ISRCTN45683816].";"The main overall finding from this study is that saffron may be of therapeutic benefit in the treatment of mild to moderate depression. To the best of our knowledge this is the first clinical trial that supports this indication for saffron. A large-scale trial with placebo control is warranted.";"2016-08-08 17:29:17"
"Comparison of daily, weekly, and monthly vitamin D3 in ethanol dosing protocols for two months in elderly hip fracture patients.";"Supplementation with vitamin D can be achieved equally well with daily, weekly, or monthly dosing frequencies. Therefore, the choice of dose frequency can be based on whichever approach will optimize an individual's adherence with long-term vitamin D supplementation.";"2016-08-08 17:29:17"
