,0
0,accord
1,accur
2,ace
3,ace inhibitor
4,achiev
5,acid
6,activ
7,acupunctur
8,acut
9,addit
10,adhd
11,adjuv
12,adolesc
13,adult
14,advanc
15,advantag
16,advers
17,advic
18,aerob
19,affect
20,affect_neg
21,age
22,agent
23,agit
24,alcohol
25,allopurinol
26,alon
27,amelior
28,analges
29,analgesia
30,analysi
31,anesthet
32,ani
33,ankyloglossia
34,antibiot
35,antidepress
36,appear
37,applic
38,approach
39,approxim
40,ass
41,assess
42,associ
43,associ increas
44,associ signific
45,asthma
46,attribut
47,avail
48,base
49,baselin
50,basi
51,becaus
52,befor
53,behavior
54,behaviour
55,benefici
56,benefici effect
57,benefit
58,better
59,birth
60,block
61,blood
62,blood pressur
63,bp
64,brain
65,breast
66,breast cancer
67,breast_neg
68,breastfeed
69,cancer
70,cardiac
71,cardiovascular
72,care
73,caus
74,cell
75,cessat
76,chang
77,chest
78,child
79,childhood
80,cholesterol
81,chronic
82,cinnamon
83,circumcis
84,clinic
85,clinic benefit
86,clinic outcom
87,clinic practic
88,clinic trial
89,cognit
90,cohort
91,combin
92,common
93,compar
94,compar placebo
95,complic
96,conclud
97,conclus
98,condit
99,confid
100,confid interv
101,confirm
102,consid
103,consider
104,consist
105,consumpt
106,continu
107,contrast
108,control
109,coronari
110,corticosteroid
111,cost
112,ct
113,current
114,current evid
115,daili
116,data
117,day
118,death
119,decis
120,decis make
121,decreas
122,definit
123,degre
124,dementia
125,demonstr
126,depend
127,depress
128,design
129,despit
130,determin
131,develop
132,dexamethason
133,diabet
134,diagnosi
135,diastol
136,did
137,did negation
138,dietari
139,differ
140,digit
141,digit confid
142,digit day
143,digit digit
144,digit mg
145,digit mm
146,digit month
147,digit patient
148,digit week
149,digit year
150,direct
151,discharg
152,diseas
153,disord
154,doe
155,doe negation
156,dose
157,dose digit
158,drug
159,durat
160,dure
161,dysfunct
162,earli
163,educ
164,effect
165,effect compar
166,effect reduc
167,effect treatment
168,efficaci
169,effici
170,elder
171,elev
172,elev_neg
173,enhanc
174,episod
175,especi
176,establish
177,evalu
178,event
179,evid
180,exercis
181,experienc
182,explor
183,exposur
184,express
185,facilit
186,factor
187,fast
188,fat
189,fatigu
190,feasibl
191,featur
192,femal
193,fewer
194,follow
195,format
196,frenotomi
