,id,neg_word,Unnamed: 0,Unnamed: 0.1,sen,lab,neg_bin,effected_words
0,3.0,no,146,492,No statistical difference was found in the efficacy of citalopram and risperidone for the treatment of either agitation or psychotic symptoms in patients with dementia.,0.0,1,"[u'statist', u'differ', u'found', u'efficaci', u'citalopram', u'risperidon', u'treatment', u'agit', u'psychot', u'symptom', u'patient', u'psychot', u'dementia']"
1,6.0,not appear,61,454,"There is a real, immediate improvement in breastfeeding, detectable by the mother, which is sustained and does not appear to be due to a placebo effect.",1.0,1,"[u'appear', 'to', 'be', u'due', 'to', u'placebo', u'effect']"
2,11.0,without,221,488,"Among patients at high risk for cardiovascular events but without diabetes, targeting a systolic blood pressure of less than 120 mm Hg, as compared with less than 140 mm Hg, resulted in lower rates of fatal and nonfatal major cardiovascular events and death from any cause, although significantly higher rates of some adverse events were observed in the intensive-treatment group.",2.0,1,"[u'cardiovascular', u'event', u'diabet', u'target', u'systol', u'blood', u'pressur', u'compar', u'lower', u'rate', u'major']"
3,13.0,not,452,417,The procedure of a delayed cord clamping time of at least 30 s is safe to use and does not compromise the preterm infant in the initial post-partum adaptation phase.,1.0,1,"[u'compromis', u'preterm', u'infant', u'initi', u'adapt', u'phase']"
4,527.0,not,178,483,"The key lessons learned from this study is that continuous rucaparib dosing is required for optimal response, the recommended phase 2 dose (RP2D) for continuous oral scheduling has not been established and requires further exploration and, thirdly, the use of a PD biomarker to evaluate dose-response has its limitations.",1.0,1,"[u'dose', u'establish', u'further', u'explor', u'third', u'use', 'of', u'biomark', u'evalu', u'respons', u'limit']"
5,27.0,no evidence,27,352,"When we compared acupuncture with sham acupuncture, there was no evidence of a significant difference in their effect on menopausal vasomotor symptoms.",1.0,1,"[u'signific', u'differ', 'in', u'effect', u'vasomotor', u'menopaus']"
6,28.0,with ,448,168,"When we compared acupuncture with no treatment there appeared to be a benefit from acupuncture, but acupuncture appeared to be less effective than HT.",2.0,1,"[u'acupunctur', u'treatment', u'appear', 'to', u'benefit']"
7,29.0,no,308,298,These findings should be treated with great caution as the evidence was low or very low quality and the studies comparing acupuncture versus no treatment or HT were not controlled with sham acupuncture or placebo HT.,1.0,1,"[u'acupunctur', u'treatment', 'ht', u'not', u'control', u'sham', u'placebo']"
8,34.0,not,263,110,The results do not support a relationship between childhood ADHD and adult mood or anxiety disorders.,1.0,1,"[u'support', u'relationship', u'childhood', u'adhd', u'adult', u'mood', u'anxieti', u'disord']"
9,36.0,no,503,409,Patients subjectively reported significantly greater relief from symptoms with Debacterol than with Kenalog-in-Orabase or no treatment.,2.0,1,[u'treatment']
10,37.0,not,175,165,"The relief of symptoms associated with recurrent aphthous stomatitis may or may not correspond to clinical improvement, and these two topical medications may affect signs and symptoms of the lesions differently.",1.0,1,"[u'symptom', u'clinic', u'improv', u'two', u'topic', u'medic', u'affect', u'sign', u'lesion']"
11,53.0,no,60,138,"There is no consistent evidence that anxiolytics aid smoking cessation, but the available evidence does not rule out a possible effect.",1.0,1,"[u'consist', u'evid', u'anxiolyt', u'aid', u'smoke', u'cessat', u'rule', u'out']"
12,568.0,not,372,549,"In patients with HHT, a bevacizumab nasal spray treatment of 3 administrations at 14-day intervals with doses of 25 mg, 50 mg, or 75 mg per spray, compared with a placebo, did not reduce monthly epistaxis duration in the 3 consecutive months immediately after the end of treatment.",0.0,1,"['in', 'at', u'month', u'epistaxi', u'durat', u'consecut', u'month', u'immedi', u'end']"
13,59.0,no evidence to suggest,309,61,"However, for women in Western countries, pre- or post-menopausal, there is no evidence to suggest an association between intake of soy isoflavone and breast cancer.",1.0,1,"[u'evid', u'suggest', u'associ', u'intak', u'soy', u'isoflavon', u'breast', u'cancer']"
14,60.0,not have,123,158,The majority of infants with wheezing have transient conditions associated with diminished airway function at birth and do not have increased risks of asthma or allergies later in life.,2.0,1,"[u'increas', u'risk', u'asthma', u'allergi', u'late', u'life']"
15,575.0,not,181,455,This study is useful in that it compares two common methods of preparation of the upper limb prior to tourniquet inflation and which have not previously been compared in this context.,1.0,1,"[u'compar', u'compar', u'context']"
16,580.0,not,247,469,"Already after three months the effect of training with tailor-made notched music is observable in the most direct rating of tinnitus perception - the tinnitus loudness, while more global measures of tinnitus distress do not show relevant changes.",1.0,1,"[u'show', u'relev', u'chang']"
17,69.0,absence of,419,250,"Patients treated with niacin (n = 1,119) and placebo (n = 2,787) were grouped according to the presence or absence of the MS at baseline.",1.0,1,"[u'm', u'baselin']"
18,72.0,without,479,380,"In conclusion, these results support the use of niacin in postinfarction patients with and without the MS.",2.0,1,[u'm']
19,76.0,not,180,435,"At the present time, evidence from randomized trials does not support blood pressure targets lower than the standard targets in people with elevated blood pressure and diabetes.",1.0,1,"[u'support', u'blood', u'pressur', u'target', u'lower', u'standard', 'in', u'peopl', u'elev', u'blood', u'pressur', u'diabet']"
20,591.0,,474,421,There is a trend toward improved local tumor control and progression-free survival with proton beam.,2.0,1,"[u'trend', u'improv', u'local', u'tumor', u'control']"
21,91.0,without,187,391,The combination of curcumin and quercetin appears to reduce the number and size of ileal and rectal adenomas in patients with FAP without appreciable toxicity.,2.0,1,"['to', u'toxic']"
22,92.0,not,491,464,Both prednisolone 1 mg/kg and low-dose dexamethasone (0.15 mg/kg) were found not to differ in efficacy from the currently recommended 0.6 mg/kg dexamethasone.,0.0,1,"['kg', u'dexamethason', u'efficaci', u'current', u'recommend']"
23,608.0,not,457,357,"Among critically ill patients treated in ICUs in Brazil, implementation of a multifaceted quality improvement intervention with daily checklists, goal setting, and clinician prompting did not reduce in-hospital mortality.",0.0,1,"[u'in-hospit', u'mortal']"
24,1296.0,,391,545,"Among adults with septic shock, the early use of vasopressin compared with norepinephrine did not improve the number of kidney failure-free days.",0.0,1,"[u'not', u'free', u'number']"
25,611.0,not,235,256,Synergy observed in preclinical phase did not turn into ability to improve clinical outcomes.,0.0,1,"[u'clinic', u'outcom']"
26,100.0,not,331,104,"Behavioral therapy resulted in greater patient satisfaction and fewer bothersome incontinence symptoms than pessary at 3 months, but differences did not persist to 12 months.",1.0,1,[u'month']
27,619.0,no,420,17,There were no differences in post-operative lactate levels or clinical outcomes between patients receiving thiamine or placebo.,1.0,1,"[u'post-op', u'lactat', u'level', u'clinic', u'thiamin', u'placebo']"
28,1248.0,with ,51,253,"Outcomes of colorectal endoscopic submucosal dissection were acceptable in selected patients, with no difference in outcomes according to clinical indications.",2.0,1,"[u'outcom', u'clinic']"
29,622.0,not,285,316,"Passive self-ligating brackets and conventional brackets can cause root resorption, but the difference was not significant.",1.0,1,[]
30,121.0,not,313,254,"Sports, per se, was not a cause of the enhanced mortality, but it triggered SD in those athletes who were affected by cardiovascular conditions predisposing to life-threatening ventricular arrhythmias during physical exercise.",0.0,1,[u'caus']
31,648.0,no significant,46,224,"At the recovery room, no significant efficacy difference between low-dose ketamine (0.25 mg/kg) and placebo in the prevention of post operative shivering in patients who underwent orthopedic surgery was observed.",0.0,1,"[u'signific', u'efficaci', u'ketamin', u'low-dos', u'low', u'placebo', u'prevent', u'shiver', u'post', u'oper', u'patient', u'orthoped', u'surgeri', u'observ']"
32,138.0,no,88,155,"In women, cholecystectomy leads to the perception of less constipation and slightly more frequent defecations but short term recordings show no consistent change in bowel function.",2.0,1,"[u'consist', u'bowel', u'function']"
33,139.0,no significant,544,280,No significant effect of chromium on lipid or glucose metabolism was found in people without diabetes.,1.0,1,"[u'signific', u'chromium', u'lipid', u'glucos', u'metabol', u'found', u'peopl', u'diabet']"
