id,neg_bin,effected_words,neg_word,sen_negation,lab,sen,sen_tag,sen_tag_negation
69,1,[u'absenc'],absence of,patient treat with niacin  n   digit digit  and placebo  n   digit digit  were group accord to the presenc or NEGATION the m at baselin ,1,patient treat with niacin  n   digit digit  and placebo  n   digit digit  were group accord to the presenc or absenc of the m at baselin ,patient treat with niacin  n   digit digit  and placebo  n   digit digit  were group accord to the presenc or absenc_NEG of the m at baselin ,patient treat with niacin  n   digit digit  and placebo  n   digit digit  were group accord to the presenc or NEGATION the m at baselin 
152,1,"['of', u'length', u'gestat']",no,a moder reduct in caffein intak in the second half of pregnanc ha NEGATION effect on birth weight or length of gestat ,1,a moder reduct in caffein intak in the second half of pregnanc ha no effect on birth weight or length of gestat ,a moder reduct in caffein intak in the second half of_NEG pregnanc ha no effect on birth weight or length_NEG of_NEG gestat_NEG ,a moder reduct in caffein intak in the second half of_NEG pregnanc ha NEGATION effect on birth weight or length_NEG of_NEG gestat_NEG 
380,1,[u'smoker'],no,we found NEGATION argument in favour of confront smoker with their lung function a a tool for enhanc smoke cessat ,1,we found no argument in favour of confront smoker with their lung function a a tool for enhanc smoke cessat ,we found no argument in favour of confront smoker_NEG with their lung function a a tool for enhanc smoke cessat ,we found NEGATION argument in favour of confront smoker_NEG with their lung function a a tool for enhanc smoke cessat 
217,1,[u'wheez'],no,there is NEGATION current evid to favour mainten low dose inhal corticosteroid in the prevent and manag of episod mild viral induc wheez ,1,there is no current evid to favour mainten low dose inhal corticosteroid in the prevent and manag of episod mild viral induc wheez ,there is no current evid to favour mainten low dose inhal corticosteroid in the prevent and manag of episod mild viral induc wheez_NEG ,there is NEGATION current evid to favour mainten low dose inhal corticosteroid in the prevent and manag of episod mild viral induc wheez_NEG 
619,1,"[u'post', u'level', u'oper', u'lactat']",no,there were NEGATION differ in post oper lactat level or clinic outcom between patient receiv thiamin or placebo ,0,there were no differ in post oper lactat level or clinic outcom between patient receiv thiamin or placebo ,there were no differ in post_NEG oper_NEG lactat_NEG level_NEG or clinic outcom between patient receiv thiamin or placebo ,there were NEGATION differ in post_NEG oper_NEG lactat_NEG level_NEG or clinic outcom between patient receiv thiamin or placebo 
138,1,"[u'chang', 'no']",no,in woman  cholecystectomi lead to the percept of le constip and slight more frequent defec but short term record show NEGATION consist chang in bowel function ,2,in woman  cholecystectomi lead to the percept of le constip and slight more frequent defec but short term record show no consist chang in bowel function ,in woman  cholecystectomi lead to the percept of le constip and slight more frequent defec but short term record show no_NEG consist chang_NEG in bowel function ,in woman  cholecystectomi lead to the percept of le constip and slight more frequent defec but short term record show NEGATION consist chang_NEG in bowel function 
27,1,"[u'symptom', u'vasomotor', u'menopaus']",no evidence,when we compar acupunctur with sham acupunctur  there wa NEGATION of a signific differ in their effect on menopaus vasomotor symptom ,1,when we compar acupunctur with sham acupunctur  there wa no evid of a signific differ in their effect on menopaus vasomotor symptom ,when we compar acupunctur with sham acupunctur  there wa no evid of a signific differ in their effect on menopaus_NEG vasomotor_NEG symptom_NEG ,when we compar acupunctur with sham acupunctur  there wa NEGATION of a signific differ in their effect on menopaus_NEG vasomotor_NEG symptom_NEG 
59,1,"[u'breast', u'cancer']",no evidence to suggest,howev  for woman in western countri  pre  or post menopaus  there is NEGATION an associ between intak of soy isoflavon and breast cancer ,1,howev  for woman in western countri  pre  or post menopaus  there is no evid to suggest an associ between intak of soy isoflavon and breast cancer ,howev  for woman in western countri  pre  or post menopaus  there is no evid to suggest an associ between intak of soy isoflavon and breast_NEG cancer_NEG ,howev  for woman in western countri  pre  or post menopaus  there is NEGATION an associ between intak of soy isoflavon and breast_NEG cancer_NEG 
283,1,[u'paramet'],no significant,earli administr of oral steroid medic in patient with acut sciatica had NEGATION effect on most paramet studi ,0,earli administr of oral steroid medic in patient with acut sciatica had no signific effect on most paramet studi ,earli administr of oral steroid medic in patient with acut sciatica had no signific effect on most paramet_NEG studi ,earli administr of oral steroid medic in patient with acut sciatica had NEGATION effect on most paramet_NEG studi 
651,1,[u'use'],no significant,in this open label  random trial involv patient with local advanc pancreat cancer with diseas control after digit month of induct chemotherapi  there wa NEGATION differ in overal surviv with chemoradiotherapi compar with chemotherapi alon and there wa NEGATION differ in overal surviv with gemcitabin compar with gemcitabin plus erlotinib use a mainten therapi ,0,in this open label  random trial involv patient with local advanc pancreat cancer with diseas control after digit month of induct chemotherapi  there wa no signific differ in overal surviv with chemoradiotherapi compar with chemotherapi alon and there wa no signific differ in overal surviv with gemcitabin compar with gemcitabin plus erlotinib use a mainten therapi ,in this open label  random trial involv patient with local advanc pancreat cancer with diseas control after digit month of induct chemotherapi  there wa no signific differ in overal surviv with chemoradiotherapi compar with chemotherapi alon and there wa no signific differ in overal surviv with gemcitabin compar with gemcitabin plus erlotinib use_NEG a mainten therapi ,in this open label  random trial involv patient with local advanc pancreat cancer with diseas control after digit month of induct chemotherapi  there wa NEGATION differ in overal surviv with chemoradiotherapi compar with chemotherapi alon and there wa NEGATION differ in overal surviv with gemcitabin compar with gemcitabin plus erlotinib use_NEG a mainten therapi 
1214,1,"['of', u'breast', u'cancer', u'result']",no significant,interpret of batch of mammogram by qualifi screen mammographi reader use a differ order v the same order for the second read result in NEGATION differ in rate of detect of breast cancer ,1,interpret of batch of mammogram by qualifi screen mammographi reader use a differ order v the same order for the second read result in no signific differ in rate of detect of breast cancer ,interpret of_NEG batch of_NEG mammogram by qualifi screen mammographi reader use a differ order v the same order for the second read result_NEG in no signific differ in rate of_NEG detect of_NEG breast_NEG cancer_NEG ,interpret of_NEG batch of_NEG mammogram by qualifi screen mammographi reader use a differ order v the same order for the second read result_NEG in NEGATION differ in rate of_NEG detect of_NEG breast_NEG cancer_NEG 
