id,sen,lab
500,"XFC could elevate clinical efficacy of AS patients and enhance their autophagy, which might be achieved by acting on PI3K/Akt/mTOR signal, affecting autophagy gene and autophagy protein expression, taking part in the regulation of proliferation and differentiation of lymphocyte B, and strengthen humoral immunity.",2
501,"This therapy provides a valuable tool to accomplish a rapid decrease in vertigo spells in subjects with Meniere's disease, and it is considered an alternative to chemical or surgical labyrinthectomy.",2
502,"These elevations came with no adverse effect relative to resting heart rate, but a slight increase in blood pressure values.",1
504,"Instead, we found weak positive associations between vitamin D levels and fasting- and 2hour plasma glucose levels, HbA1c and impaired fasting glycaemia, and a negative association with beta-cell function, underlining the need for determination of the causal relationship.",1
507,"Future research should examine the separate impact of goals and planning, as well as examining mediators of behavior maintenance in physical activity interventions targeting cancer survivors.",1
508,"Because this is an observational study, comparison of techniques such as addition of fentanyl, EVE, needs a compatative study.",1
510,High-flow conditioned oxygen therapy may offer advantages for these patients.,2
511,"The study adds further evidence for the dominant cardiac sympathetic modulations on patients with preeclampsia, probably secondary to parasympathetic withdrawal in this group.",1
512,Standard practice in pupillary monitoring yields inaccurate data.,0
513,The 2 interventions were acceptable to participants and equal with regard to perceived credibility and acceptability.,1
516,We concluded that high-dose (4 g) MO leaf powder capsules significantly increased insulin secretion in healthy subjects.,2
517,Fewer patients responded to GDHT than anticipated.,1
518,The acupuncture at the acupoints selected from the affected meridians based on the location differentiation and the heavy moxibustion at painful points are safe and effective in the treatment of fibromyalgia syndrome and present the better persistent effect as compared with the combined medication of tramadol sustained release tablets and amitriptyline.,2
519,"Taken on a daily basis, thermogenic dietary supplementation may increase overall energy expenditure, potentially leading to reductions in fat mass over time.",2
521,"At the same anaesthetic depth, the CIIA method outperforms the TIVA method in suppressing the stress response and obtaining smooth awakening after laparoscopic radical gastrectomy for patients with gastric cancer; therefore, the CIIA method has a better anaesthetic effect.",2
522,"The moxa salt packets combined with tropisetron hydrochloride can effectively reduce the cisplatin chemotherapy-induced nausea and vomiting as well as the occurrence rate of delayed-type vomiting, and improve the constipation, which is superior to single use of tropisetron hydrochloride.",2
523,And it has similar immunotherapy efficacy between monosensitized and polysensitized children.,1
525,Application of PRP showed a positive effect on AGA and could be regarded as an adjuvant therapy for AGA.,2
527,"The key lessons learned from this study is that continuous rucaparib dosing is required for optimal response, the recommended phase 2 dose (RP2D) for continuous oral scheduling has not been established and requires further exploration and, thirdly, the use of a PD biomarker to evaluate dose-response has its limitations.",1
528,"Î²-Lactam-allergic patients who need ertapenem therapy should undergo skin tests and, if negative, a graded challenge to assess tolerability.",1
529,"CAM use was significantly associated with gender, age, career and duration of diabetes.",1
530,Incorporating paravertebral blocks carries considerable potential for improving pathways for breast cancer patients undergoing breast reconstruction--with minimal procedure-related morbidity.,2
533,"The results obtained indicate that the adjuvant treatment of psychosocial day care programme has a positive effect on treatment outcomes: on the increase of the patients' quality of life, and, to some extent, on the decrease of symptom intensity in positive symptoms in schizophrenia spectrum.",2
534,"The lenalidomide combined with chemotherapy can significantly decrease the expression level of VEGF and bFGF, and enhance the remission rate of patients with AML.",2
536,"Together, these findings suggest that personalised decision support systems could be an important development in shared decision-making and patient-centered care.",1
537,The pemetrexed-carboplatin combination was effective and well-tolerated in patients with EGFR-wild-type non-squamous NSCLC (UMIN-CTR number: UMIN000003393).,2
539,"Dynamic multiple pelvic angiography has significant advantage in the diagnosis of pelvic peritoneal hernia, and can provide a more objective basis for the diagnosis of functional defecation disorder.",1
541,Tramadol appears to be consistently well tolerated following i.v.,2
542,Combined aerobic and stretching exercises brought about significant therapeutic effects on selected cardiopulmonary parameters in female BC survivors.,2
545,Further study is needed to confirm our pilot findings.,1
549,"Among postmenopausal women with osteoporosis, the use of subcutaneous abaloparatide, compared with placebo, reduced the risk of new vertebral and nonvertebral fractures over 18 months.",2
550,Overnight closed-loop therapy resulted in better glucose control than sensor-augmented pump therapy in pregnant women with type 1 diabetes.,2
551,B- TURBT is a reasonable treatment modality in patients with NMIBC.,1
553,"When renal function is impaired and if basal kalemia is >4.35 mmol/L, then clinicians should properly balance risk and benefit of eplerenone use and offer dietary advice.",1
555,SMT C1100 was well tolerated in pediatric DMD patients.,2
556,Further research is necessary to evaluate these preliminary findings in a larger study population with longer follow-up to determine whether the observed effects will result in improved clinical outcomes.,1
557,"Among patients with advanced melanoma, pembrolizumab administration was associated with an overall objective response rate of 33%, 12-month progression-free survival rate of 35%, and median overall survival of 23 months; grade 3 or 4 treatment-related AEs occurred in 14%.",1
