,id,sen,lab
0,1318,"The effectiveness of ARM in the prevention of severe epithelitis in patients with HNC treated with RT is, at least, as effective (or more effective) as other and more common skin treatments.",2
1,772,"Concurrent using QQD with chemoradiotherapy for treating esophageal carcinoma patients could lower the incidence of radiation pneumonitis, attenuate the degree of radiation induced lung injury, improve clinical benefit rate, and elevate their QOL.",2
4,591,There is a trend toward improved local tumor control and progression-free survival with proton beam.,2
7,688,Concerning the inguinal hernia repair we found better postoperative pain scores and 24 hours reduction of the morphine consumption in group III (GA and TAP-D block) compared with group I (GA) and group II (GA + TAP block).,2
9,794,Full robotic gastrectomy with intracorporeal robot-sewn anastomosis for gastric cancer is safe and does not increase the complication risk during or after surgery.,2
12,1366,"In the absence of a difference in overall survival, these findings suggest that for patients with 1 to 3 brain metastases amenable to radiosurgery, SRS alone may be a preferred strategy.",2
14,641,The present study showed that combination of degarelix and antiandrogen could lead to favorable PSA reduction and immediate castrate level at an earlier phase.,2
16,589,"ZHENG's gold hook fishing acupuncture could effectively improve the symptoms and sings of LDH, reduce the disability index and improve the quality of life, which is superior to EA.",2
24,1273,However Botulinum toxin type A (BotoxÂ®) showed statistically significant more increased in pressure pain threshold at 6-week after injection without severe adverse effects.,2
25,669,The administration of a 5 mg post-operative dose of tadalafil to patients that had undergone a bilateral NSRP was found to have a positive effect on the recovery and maintenance of erectile function.,2
26,534,"The lenalidomide combined with chemotherapy can significantly decrease the expression level of VEGF and bFGF, and enhance the remission rate of patients with AML.",2
27,1283,"Ultrasound-guided interscalene brachial plexus block with an extrafascial injection reduces the incidence of hemidiaphragmatic paresis and impact on respiratory function while providing similar analgesia, when compared with a conventional injection.",2
30,734,"Acupuncture method of ""Huoxue Sanfeng, Shugan Jianpi"", characterized with standard manipulation criteria, can effectively control morning blood pressure in patients with cerebral infraction combined with essential hypertension.",2
36,672,Providing an educational video intervention about CATH may effectively decrease periprocedural anxiety levels.,2
38,1347,"The point application in summer for the prevention in winter reduces the attack frequency of pediatric pneumonia, shortens the sick duration and has achieved the better significant efficacy in the cases of lower age, shorter sick duration, less attack frequency and moderate skin reaction.",2
40,1327,"CCD increased good quality embryo rate by down-regulating the expression of ROS protein in ovarian granulosa cells, and correcting in vivo oxidative stress.",2
43,1413,Magnesium sulphate as an adjuvant provides rapid onset of epidural anesthesia and prolongs the duration of analgesia with minimal side effects.,2
44,1337,EA improves rectus femoris tension and recovers the internal mechanics balance and the efficacy is better than that of meloxicam.,2
48,777,"In addition, it can avoid possible side-effect of medication.",2
51,519,"Taken on a daily basis, thermogenic dietary supplementation may increase overall energy expenditure, potentially leading to reductions in fat mass over time.",2
52,681,"A technically more robust system, combined with additional attractive games, likely results in higher patient motivation and better compliance.",2
55,530,Incorporating paravertebral blocks carries considerable potential for improving pathways for breast cancer patients undergoing breast reconstruction--with minimal procedure-related morbidity.,2
60,795,"The findings provide preliminary evidence that this intervention may offer an efficient way of concurrently reducing CAS and mental health problems, such as sexual compulsivity and loneliness, for HIV+ gay and bisexual men.",2
64,565,Ultrasound guided lower limb peripheral nerve blocks are an efficient technique of regional anesthesia in children.,2
71,663,In a fasted and glycogen-reduced state ingestion of a CHO solution during high-intensity exercise enhanced performance through stimulation of insulin-mediated glucose uptake.,2
74,1269,"Regarding the improvement in foul breathing, the effect in the palmar thumb surface group is better than that in the radial margin group.",2
83,720,"SIPsmartER also yielded small, yet significant, improvements in BMI.",2
85,723,"As a result, electro-acupuncture (EA) might be useful in controlling the ongoing epidemics in obesity and T2DM.",2
86,1248,"Outcomes of colorectal endoscopic submucosal dissection were acceptable in selected patients, with no difference in outcomes according to clinical indications.",2
87,1322,Partial STARR combined with Bresler procedure in the treatment of ODS associated with rectocele and IRI has better efficacy than STARR only.,2
88,582,Early screening of these disorders and prompt tailored pharmacological and behavioral interventions can potentially reduce cocaine use and improve response to MMT.,2
90,1298,ALIF with posterior instrumentation in low grade isthmic spondylolisthesis provides satisfactory outcome in patients requiring surgical treatment.,2
91,1400,"Adjuvant Gliatilin in the complex therapy of progressive glaucoma is appropriate and efficient, especially in case of systemic atherosclerosis and cerebrovascular insufficiency.",2
92,1365,"LMV, ADV, LdT, LMV+ADV and ETV were all effective on treatment of decompensated hepatitis B virus-related cirrhosis whereas ETV and LMV+ADV were recommended.",2
95,682,"Group F and group E demonstrated similar fast motor recovery, but the former caused less intraoperative pain than the latter.",2
102,631,This clinical trial indicates that treatment with a novel custom-made OAm can reduce the severity of sleep-disordered breathing by significantly decreasing the AHI and VAS scores.,2
103,1202,Both MM and VDO were significantly improved by use of occlusal splints pretreatment.,2
104,560,"Hark improved the quality of transfer of information about simulated patients and was rated by users as more effective and efficient, and less distracting than pagers.",2
105,588,SIT decreases the expression of GM-CSF and IL-5 and reduces the inflammatory reaction in the tissue samples of recurrent nasal polyps.,2
106,689,The Tat Oyi vaccine in association with cART may provide an efficient means of controlling the HIV-infected cell reservoir.,2
112,640,"Among patients with 1 to 3 brain metastases, the use of SRS alone, compared with SRS combined with WBRT, resulted in less cognitive deterioration at 3 months.",2
