,0
0,abnorm
1,accept
2,accord
3,accur
4,ace
5,ace inhibitor
6,achiev
7,acid
8,acid suppress
9,activ
10,acupunctur
11,acut
12,addit
13,address
14,adhd
15,adjuv
16,administr
17,adolesc
18,adult
19,advanc
20,advers
21,advers effect
22,advic
23,aerob
24,affect
25,age
26,agent
27,airway
28,allopurinol
29,alon
30,altern
31,ami
32,analges
33,analysi
34,anesthesia
35,ankyloglossia
36,anti
37,anti inflammatori
38,antidepress
39,antipsychot
40,aphthous
41,appear
42,applic
43,approach
44,assess
45,associ
46,associ increas
47,associ increas risk
48,associ signific
49,asthma
50,attribut
51,atyp
52,atyp antipsychot
53,avail
54,avail evid
55,balanc
56,base
57,baselin
58,basi
59,befor
60,behavior
61,behaviour
62,benefit
63,better
64,block
65,blood
66,blood pressur
67,bodi
68,bp
69,breast
70,breastfeed
71,cancer
72,cardiac
73,cardiovascular
74,cardiovascular event
75,care
76,carri
77,carvedilol
78,caus
79,cell
80,cessat
81,chang
82,chd
83,chest
84,child
85,childhood
86,cholesterol
87,chronic
88,chronic lbp
89,cinnamon
90,circadian
91,circumcis
92,clinic
93,clinic outcom
94,clinic practic
95,clinic trial
96,cognit
97,cohort
98,combin
99,common
100,compar
101,compar placebo
102,compar standard
103,comparison
104,complet
105,complic
106,conclud
107,conclus
108,condit
109,confid
110,confid interv
111,confid interv digit
112,confid interv digit digit
113,confirm
114,consid
115,consider
116,consist
117,consumpt
118,continu
119,contrast
120,control
121,coronari
122,correct
123,corticosteroid
124,cost
125,coupl
126,ct
127,cure
128,current
129,current evid
130,daili
131,data
132,day
133,death
134,decis
135,decis make
136,decreas
137,degre
138,dementia
139,demonstr
140,depend
141,depress
142,design
143,detect
144,determin
145,develop
146,diabet
147,diagnosi
148,diastol
149,did
150,did result
151,diet
152,dietari
153,differ
154,digit
155,digit confid
156,digit confid interv
157,digit confid interv digit
158,digit day
159,digit diabet
160,digit digit
161,digit digit confid
162,digit digit confid interv
163,digit digit digit
164,digit digit digit confid
165,digit digit digit digit
166,digit digit year
167,digit fatti
168,digit fatti acid
169,digit mg
170,digit mm
171,digit month
172,digit patient
173,digit week
174,digit year
175,digit year age
176,diminish
177,direct
178,direct comparison
179,diseas
180,disord
181,doe
182,dose
183,doxycyclin
184,drug
185,durat
186,dure
187,dysfunct
188,dyslipidemia
189,ea
190,earli
191,econom
192,educ
