,id,sen,lab,socal
0,1,Our results indicate that the injection of corticosteroids to patients with shoulder pain due to dsyn tissue dsyn under the USG-guidance may improve therapeutic effectiveness and reduce adverse effects.,2,-2.0
1,2,"For a given anesthesia condition, the Mogen clamp is associated with a less painful procedure than the Gomco.",2,2.0
2,3,No statistical difference was found in the efficacy of citalopram and risperidone for the treatment of either agitation or mobd symptoms in patients with dementia.,0,-0.666666666667
3,4,These findings need to be replicated before citalopram or other serotonergic antidepressants can be recommended as alternatives to antipsychotics for the treatment of agitation or mobd symptoms associated with dementia.,1,-0.666666666667
4,5,We conclude that losartan alone or in combination with HCTZ was generally well tolerated and effective in the treatment of elevated systolic and diastolic BP in dsyn patients with hypertension.,2,1.0
5,6,"There is a real, immediate improvement in breastfeeding, detectable by the mother, which is sustained and does not appear to be due to a placebo effect.",1,1.6
6,7,"In an unselected birth cohort, more than one in four children had wheezing that persisted from childhood to adulthood or that relapsed after remission.",0,-2.0
7,8,"The factors predicting persistence or dsyn were sensitization to house dust mites, airway hyperresponsiveness, female sex, smoking, and early age at onset.",1,1.0
8,9,"These findings, together with persistently low lung function, suggest that outcomes in adult dsyn may be determined primarily in early childhood.",1,-0.5
9,10,"This study was a negative study, though there was a suggestion of benefit of methylprednisolone acetate in a population of young adults with acute radicular low back pain.",0,-0.2
10,11,"Among patients at high risk for cardiovascular events but without diabetes, targeting a systolic blood pressure of less than 120 mm Hg, as compared with less than 140 mm Hg, resulted in lower rates of fatal and nonfatal major cardiovascular events and death from any cause, although significantly higher rates of some adverse events were observed in the intensive-treatment group.",2,-1.46666666667
11,12,"US guidance significantly improves the accuracy of joint injection, allowing a trainee to rapidly achieve higher accuracy than more experienced rheumatologists.",2,1.96666666667
12,13,The procedure of a delayed cord clamping time of at least 30 s is safe to use and does not compromise the preterm infant in the initial post-partum adaptation phase.,1,-1.0
13,14,"Our results suggest that ""medical expulsive therapy,"" using either alpha-antagonists or calcium channel blockers, augments the stone expulsion rate compared to standard therapy for moderately sized distal ureteral stones.",2,1.0
14,15,This systematic review aims to evaluate the benefit and side effect of Xuezhikang for coronary heart dsyn (CHD) complicated by dyslipidemia.,1,1.0
15,16,All randomized clinical trials (RCTs) with Xuezhikang as a treatment for CHD combined with dsyn were considered for inclusion.,1,-1.0
16,17,Data extraction and analyses and quality assessment were conducted according to the Cochrane standards.,1,2.0
17,18,"Xuezhikang showed significant benefit on the incidence of all-cause deaths, CHD deaths, myocardial infarction, and revascularization as compared with placebo based on conventional treatment for CHD.",2,0.2
18,19,"It remarkably lowered total cholesterol (TC), triglyceride (TG), and low-density lipoprotein-cholesterol (LDL-C) as compared with the placebo or inositol nicotinate group, which was similar to statins group.",2,2.0
19,21,Xuezhikang showed a comprehensive lipid-regulating effect and was safe and effective in reducing cardiovascular events in CHD patients complicated by dyslipidemia.,2,1.0
20,22,"Bimanual pelvic examination has marked limitations for evaluating adnexa, even with ideal circumstances.",0,1.0
21,23,"Patient characteristics such as obesity, uterine size, and abdominal patf limit the accurate palpation of the adnexa.",0,3.0
22,24,"Nitrofurantoin is actively transported into human milk, achieving concentrations in milk greatly exceeding those in serum.",2,1.75
23,26,We found insufficient evidence to determine whether acupuncture is effective for controlling menopausal vasomotor symptoms.,1,-0.333333333333
24,27,"When we compared acupuncture with sham acupuncture, there was no evidence of a significant difference in their effect on menopausal vasomotor symptoms.",1,-1.0
25,28,"When we compared acupuncture with no treatment there appeared to be a benefit from acupuncture, but acupuncture appeared to be less effective than HT.",2,1.25
26,29,These findings should be treated with great caution as the evidence was low or very low quality and the studies comparing acupuncture versus no treatment or HT were not controlled with sham acupuncture or placebo HT.,1,-1.66666666667
27,30,"Childhood ADHD predicts specific adult psychiatric disorders, namely mobd and drug mobd disorders.",1,-1.0
28,31,"In the adolescent outcome of this cohort, we found that these disturbances were dependent on the continuation of ADHD symptoms.",1,-1.0
29,32,"In contrast, in adulthood, mobd and drug dsyn appeared, in part, independent of sustained ADHD.",1,1.0
30,33,"In addition, regardless of psychiatric status, ADHD placed children at relative risk for educational and vocational disadvantage.",0,0.0
31,34,The results do not support a relationship between childhood ADHD and adult mood or mobd disorders.,1,-2.0
32,35,Drugs commonly used to treat PCOS appear to be associated with very low risk of severe adverse effects although data are extrapolated from other populations.,2,0.0
33,36,Patients subjectively reported significantly greater relief from symptoms with Debacterol than with Kenalog-in-Orabase or no treatment.,2,1.26666666667
34,37,"The relief of symptoms associated with recurrent aphthous dsyn may or may not correspond to clinical improvement, and these two topical medications may affect signs and symptoms of the lesions differently.",1,0.0
35,38,"On the basis of these and other findings on pain prevention and amelioration, we recommend that a local anesthetic be administered in advance of circumcision and that the Mogen procedure be used, unless contraindicated.",1,0.0
36,39,"We also recommend that infants be given a sweetened pacifier before, during, and after circumcision if the Gomco method is used.",1,2.0
37,40,A more active approach to the diagnosis and management of precursor lesions may often prevent the development of vulvar cancer.,2,0.0
38,41,Ankyloglossia is a relatively common finding in the newborn population and represents a significant proportion of breastfeeding problems.,1,-0.5
39,42,"Careful assessment of the lingual function, followed by frenuloplasty when indicated, seems to be a successful approach to the facilitation of breastfeeding in the presence of significant ankyloglossia.",2,1.66666666667
40,43,"Ankyloglossia, which is a relatively common finding in the newborn population, adversely affects breastfeeding in selected infants.",0,-2.0
41,44,Neither an antibiotic nor a topical steroid alone or in combination was effective as a treatment for acute dsyn in the primary care setting.,0,0.333333333333
42,45,Currently there are relatively few studies of antidepressants for the treatment of agitation and mobd in dementia.,1,-3.0
43,46,The SSRIs sertraline and citalopram were associated with a reduction in symptoms of agitation when compared to placebo in two studies.,2,-1.0
44,47,"Both SSRIs and trazodone appear to be tolerated reasonably well when compared to placebo, typical antipsychotics and atypical antipsychotics.",2,1.0
45,48,"Future studies involving more subjects are required to determine if SSRIs, trazodone, or other antidepressants are safe and effective treatments for agitation and mobd in dementia.",1,-0.333333333333
46,49,Evidence suggests that the mode of action of bupropion and nortriptyline is independent of their antidepressant effect and that they are of similar efficacy to nicotine replacement.,2,1.5
47,50,"Evidence also suggests that bupropion is less effective than varenicline, but further research is needed to confirm this finding.",0,-0.5
48,51,Atypical antipsychotic use is associated with an increased risk for death compared with nonuse among older adults with dementia.,0,-1.375
49,52,The risk for death may be greater with conventional antipsychotics than with atypical antipsychotics.,0,-0.5
50,53,"There is no consistent evidence that anxiolytics aid smoking cessation, but the available evidence does not rule out a possible effect.",1,1.0
51,54,"In this systematic review we present information relating to the effectiveness and safety of the following interventions: analgesics (local), carbenoxolone mouthwash, chlorhexidine (and similar agents), corticosteroids (topical), and tetracycline antibiotic mouthwash.",2,2.0
52,56,"The SFA Scale is a reliable, valid, and accurate measure of shoulder function in patients with RA that can be completed within 3 minutes.",2,2.0
53,57,"We meta-analyzed more and newer research results, and separated women according to menopausal status to explore soy isoflavone-breast neop association.",1,0.0
54,58,We founded that soy isoflavone intake could lower the risk of breast neop for both pre- and post-menopausal women in Asian countries.,2,-1.0
55,59,"However, for women in Western countries, pre- or post-menopausal, there is no evidence to suggest an association between intake of soy isoflavone and breast cancer.",1,-3.0
