id,sen,lab,socal
1,Our results indicate that the injection of corticosteroids to patients with shoulder pain due to dsyn tissue dsyn under the USG-guidance may improve therapeutic effectiveness and reduce adverse effects.,2,-2
2,"For a given anesthesia condition, the Mogen clamp is associated with a less painful procedure than the Gomco.",2,2
3,No statistical difference was found in the efficacy of citalopram and risperidone for the treatment of either agitation or mobd symptoms in patients with dementia.,0,-0.666666667
4,These findings need to be replicated before citalopram or other serotonergic antidepressants can be recommended as alternatives to antipsychotics for the treatment of agitation or mobd symptoms associated with dementia.,1,-0.666666667
5,We conclude that losartan alone or in combination with HCTZ was generally well tolerated and effective in the treatment of elevated systolic and diastolic BP in dsyn patients with hypertension.,2,1
6,"There is a real, immediate improvement in breastfeeding, detectable by the mother, which is sustained and does not appear to be due to a placebo effect.",1,1.6
7,"In an unselected birth cohort, more than one in four children had wheezing that persisted from childhood to adulthood or that relapsed after remission.",0,-2
8,"The factors predicting persistence or dsyn were sensitization to house dust mites, airway hyperresponsiveness, female sex, smoking, and early age at onset.",1,1
9,"These findings, together with persistently low lung function, suggest that outcomes in adult dsyn may be determined primarily in early childhood.",1,-0.5
10,"This study was a negative study, though there was a suggestion of benefit of methylprednisolone acetate in a population of young adults with acute radicular low back pain.",0,-0.2
11,"Among patients at high risk for cardiovascular events but without diabetes, targeting a systolic blood pressure of less than 120 mm Hg, as compared with less than 140 mm Hg, resulted in lower rates of fatal and nonfatal major cardiovascular events and death from any cause, although significantly higher rates of some adverse events were observed in the intensive-treatment group.",2,-1.466666667
12,"US guidance significantly improves the accuracy of joint injection, allowing a trainee to rapidly achieve higher accuracy than more experienced rheumatologists.",2,1.966666667
13,The procedure of a delayed cord clamping time of at least 30 s is safe to use and does not compromise the preterm infant in the initial post-partum adaptation phase.,1,-1
14,"Our results suggest that ""medical expulsive therapy,"" using either alpha-antagonists or calcium channel blockers, augments the stone expulsion rate compared to standard therapy for moderately sized distal ureteral stones.",2,1
15,This systematic review aims to evaluate the benefit and side effect of Xuezhikang for coronary heart dsyn (CHD) complicated by dyslipidemia.,1,1
16,All randomized clinical trials (RCTs) with Xuezhikang as a treatment for CHD combined with dsyn were considered for inclusion.,1,-1
17,Data extraction and analyses and quality assessment were conducted according to the Cochrane standards.,1,2
18,"Xuezhikang showed significant benefit on the incidence of all-cause deaths, CHD deaths, myocardial infarction, and revascularization as compared with placebo based on conventional treatment for CHD.",2,0.2
19,"It remarkably lowered total cholesterol (TC), triglyceride (TG), and low-density lipoprotein-cholesterol (LDL-C) as compared with the placebo or inositol nicotinate group, which was similar to statins group.",2,2
21,Xuezhikang showed a comprehensive lipid-regulating effect and was safe and effective in reducing cardiovascular events in CHD patients complicated by dyslipidemia.,2,1
22,"Bimanual pelvic examination has marked limitations for evaluating adnexa, even with ideal circumstances.",0,1
23,"Patient characteristics such as obesity, uterine size, and abdominal patf limit the accurate palpation of the adnexa.",0,3
24,"Nitrofurantoin is actively transported into human milk, achieving concentrations in milk greatly exceeding those in serum.",2,1.75
26,We found insufficient evidence to determine whether acupuncture is effective for controlling menopausal vasomotor symptoms.,1,-0.333333333
27,"When we compared acupuncture with sham acupuncture, there was no evidence of a significant difference in their effect on menopausal vasomotor symptoms.",1,-1
28,"When we compared acupuncture with no treatment there appeared to be a benefit from acupuncture, but acupuncture appeared to be less effective than HT.",2,1.25
29,These findings should be treated with great caution as the evidence was low or very low quality and the studies comparing acupuncture versus no treatment or HT were not controlled with sham acupuncture or placebo HT.,1,-1.666666667
30,"Childhood ADHD predicts specific adult psychiatric disorders, namely mobd and drug mobd disorders.",1,-1
31,"In the adolescent outcome of this cohort, we found that these disturbances were dependent on the continuation of ADHD symptoms.",1,-1
32,"In contrast, in adulthood, mobd and drug dsyn appeared, in part, independent of sustained ADHD.",1,1
33,"In addition, regardless of psychiatric status, ADHD placed children at relative risk for educational and vocational disadvantage.",0,0
34,The results do not support a relationship between childhood ADHD and adult mood or mobd disorders.,1,-2
35,Drugs commonly used to treat PCOS appear to be associated with very low risk of severe adverse effects although data are extrapolated from other populations.,2,0
36,Patients subjectively reported significantly greater relief from symptoms with Debacterol than with Kenalog-in-Orabase or no treatment.,2,1.266666667
37,"The relief of symptoms associated with recurrent aphthous dsyn may or may not correspond to clinical improvement, and these two topical medications may affect signs and symptoms of the lesions differently.",1,0
38,"On the basis of these and other findings on pain prevention and amelioration, we recommend that a local anesthetic be administered in advance of circumcision and that the Mogen procedure be used, unless contraindicated.",1,0
39,"We also recommend that infants be given a sweetened pacifier before, during, and after circumcision if the Gomco method is used.",1,2
40,A more active approach to the diagnosis and management of precursor lesions may often prevent the development of vulvar cancer.,2,0
41,Ankyloglossia is a relatively common finding in the newborn population and represents a significant proportion of breastfeeding problems.,1,-0.5
42,"Careful assessment of the lingual function, followed by frenuloplasty when indicated, seems to be a successful approach to the facilitation of breastfeeding in the presence of significant ankyloglossia.",2,1.666666667
43,"Ankyloglossia, which is a relatively common finding in the newborn population, adversely affects breastfeeding in selected infants.",0,-2
44,Neither an antibiotic nor a topical steroid alone or in combination was effective as a treatment for acute dsyn in the primary care setting.,0,0.333333333
45,Currently there are relatively few studies of antidepressants for the treatment of agitation and mobd in dementia.,1,-3
46,The SSRIs sertraline and citalopram were associated with a reduction in symptoms of agitation when compared to placebo in two studies.,2,-1
47,"Both SSRIs and trazodone appear to be tolerated reasonably well when compared to placebo, typical antipsychotics and atypical antipsychotics.",2,1
48,"Future studies involving more subjects are required to determine if SSRIs, trazodone, or other antidepressants are safe and effective treatments for agitation and mobd in dementia.",1,-0.333333333
49,Evidence suggests that the mode of action of bupropion and nortriptyline is independent of their antidepressant effect and that they are of similar efficacy to nicotine replacement.,2,1.5
50,"Evidence also suggests that bupropion is less effective than varenicline, but further research is needed to confirm this finding.",0,-0.5
51,Atypical antipsychotic use is associated with an increased risk for death compared with nonuse among older adults with dementia.,0,-1.375
52,The risk for death may be greater with conventional antipsychotics than with atypical antipsychotics.,0,-0.5
53,"There is no consistent evidence that anxiolytics aid smoking cessation, but the available evidence does not rule out a possible effect.",1,1
54,"In this systematic review we present information relating to the effectiveness and safety of the following interventions: analgesics (local), carbenoxolone mouthwash, chlorhexidine (and similar agents), corticosteroids (topical), and tetracycline antibiotic mouthwash.",2,2
56,"The SFA Scale is a reliable, valid, and accurate measure of shoulder function in patients with RA that can be completed within 3 minutes.",2,2
57,"We meta-analyzed more and newer research results, and separated women according to menopausal status to explore soy isoflavone-breast neop association.",1,0
58,We founded that soy isoflavone intake could lower the risk of breast neop for both pre- and post-menopausal women in Asian countries.,2,-1
59,"However, for women in Western countries, pre- or post-menopausal, there is no evidence to suggest an association between intake of soy isoflavone and breast cancer.",1,-3
60,The majority of infants with wheezing have transient dsyn associated with diminished airway function at birth and do not have increased risks of dsyn or patf later in life.,2,-1
61,"In a substantial minority of infants, however, wheezing episodes are probably related to a predisposition to asthma.",1,1
62,One week of continuous auricular acupuncture decreases the pain and disability experienced by women with dsyn low back and posterior pelvic pain.,2,-1
63,"Based on these findings and those of prior studies, once-daily AzA 15% gel can therefore be utilized as a safe, effective, and economical dosing option for the treatment of mild-to-moderate papulopustular rosacea.",2,1.666666667
64,Once-daily dosing of AzA 15% gel was well accepted by patients and can offer considerable dosing flexibility and convenience for the patient as well as for the dermatologist.,2,1
65,"These bioflavonoids improve early outcomes in cadaveric renal transplantation, possibly through HO-1 induction.",2,1.5
66,"It can thus be concluded that in the management of rosacea, basic skin care regimens, including daily use of a therapeutic moisturizer, offer optimal benefits.",2,2
67,"The CDP was a randomized, placebo-controlled clinical trial of lipid-modifying agents in men with previous myocardial patf (MI).",1,-1
69,"Patients treated with niacin (n = 1,119) and placebo (n = 2,787) were grouped according to the presence or anab of the MS at baseline.",1,0
70,"The MS was defined on the basis of meeting > or =3 of 5 criteria from the current National Cholesterol Education Program guidelines in a small virs of patients with high-density lipoprotein cholesterol determinations at baseline and on the basis of > or =3 of 4 criteria in the total population, excluding the high-density lipoprotein cholesterol criterion.",1,-0.333333333
72,"In conclusion, these results support the use of niacin in postinfarction patients with and without the MS.",2,1
73,"This study demonstrates that, when used in conjunction with DPNB, a pacifier dipped in 24% sucrose and a more comfortable, padded, and physiologic restraint can be useful in decreasing distress and pain.",2,-1
74,"The uncertain quality of identified trials highlights the need for improved reporting of study methods, particularly with regards to allocation concealment and the handling of incomplete outcome data.",0,0.6
75,"The effect of black cohosh on other important outcomes, such as health-related quality of life, sexuality, bone health, night sweats and cost-effectiveness also warrants further investigation.",1,2.333333333
76,"At the present time, evidence from randomized trials does not support blood pressure targets lower than the standard targets in people with elevated blood pressure and diabetes.",1,-1
77,"More randomized controlled trials are needed, with future trials reporting total mortality, total serious adverse events as well as cardiovascular and renal events.",1,-1.033333333
79,"However, problems with standardization and safety concerns may limit their applicability in clinical practice.",1,-0.25
80,"Whole-grain intake, largely attributed to the cereal fiber, is inversely associated with HOMA-IR and a lower prevalence of the metabolic syndrome.",1,0
81,Dietary glycemic index is positively associated with HOMA-IR and prevalence of the metabolic syndrome.,1,3
82,"Given that both a high cereal fiber content and lower glycemic index are attributes of whole-grain foods, recommendation to increase whole-grain intake may reduce the risk of developing the metabolic syndrome.",2,0.666666667
83,"The results of this study demonstrate that intake of 1, 3, or 6 g of cinnamon per day reduces serum glucose, triglyceride, LDL cholesterol, and total cholesterol in people with type 2 dsyn and suggest that the inclusion of cinnamon in the diet of people with type 2 dsyn will reduce risk factors associated with dsyn and cardiovascular diseases.",2,-1
84,Use of cinnamon showed a beneficial effect on glycaemic control (both HbA1c and FPG) and the short term (<4 months) effects of the use of cinnamon on glycaemic control looks promising.,2,0.666666667
85,A brief intervention to increase the dialogue between patients and health care providers about behavioral goals can lead to increased physical activity and weight loss.,1,0.25
86,"The combined therapy of TFGs with sulfonylureas hypoglycemic drug could lower the blood glucose level and ameliorate clinical symptoms in the treatment of T2DM, and the therapy was relatively safe.",2,-0.075
87,"Colchicine prophylaxis during initiation of allopurinol for chronic dsyn dsyn reduces the frequency and severity of acute flares, and reduces the likelihood of recurrent flares.",2,-2.666666667
88,Treating patients with colchicine during initiation of allopurinol therapy for 6 months is supported by our data.,1,1
89,Blood pressure reduction from combining drugs from these 4 classes can be predicted on the basis of additive effects.,2,-1
90,The extra blood pressure reduction from combining drugs from 2 different classes is approximately 5 times greater than doubling the dose of 1 drug.,1,0.666666667
91,The combination of curcumin and quercetin appears to reduce the number and size of ileal and rectal neop in patients with FAP without appreciable toxicity.,2,0
92,Both prednisolone 1 mg/kg and low-dose dexamethasone (0.15 mg/kg) were found not to differ in efficacy from the currently recommended 0.6 mg/kg dexamethasone.,0,2
93,The use of these corticosteroid regimens in treating patients with mild to moderate dsyn is thus supported.,1,1
94,The main overall finding from this study is that saffron may be of therapeutic benefit in the treatment of mild to moderate depression.,2,0
95,To the best of our knowledge this is the first clinical trial that supports this indication for saffron.,1,0
96,"Supplementation with vitamin D can be achieved equally well with daily, weekly, or monthly dosing frequencies.",2,2
97,"Therefore, the choice of dose frequency can be based on whichever approach will optimize an individual's adherence with long-term vitamin D supplementation.",1,0
98,This study indicates that azithromycin is at least as effective as doxycycline in the treatment of rosacea.,2,1
99,It is our recommendation that an anesthetic should be administered to newborns prior to undergoing circumcision.,1,2
100,"Behavioral therapy resulted in greater patient satisfaction and fewer bothersome dsyn symptoms than pessary at 3 months, but differences did not persist to 12 months.",0,1.125
101,"The electron beam CT coronary calcium score predicts CAD events independent of standard risk factors, more accurately than standard risk factors and CRP, and refines Framingham risk stratification.",2,0.214285714
102,"Those who are female, diabetic and have neurophysiological confirmation of diagnosis have the highest risk of relapse.",0,-1.5
103,"Corticosteroids provide symptomatic relief of pain in sore throat, in addition to antibiotic therapy, mainly in participants with severe or exudative sore throat.",2,-1
104,"There are a myriad of dsyn and maladies that seem to benefit from fatty acid supplementation, specifically omega-3 fatty acids.",1,-2
105,"It has clearly been shown that omega-3 fatty acid supplementation provides a protective benefit in heart disease, and in particular sudden cardiac death.",2,0.2
106,"Rheumatoid dsyn (RA) is another dsyn entity that has been proven to benefit from this nutrition intervention, with improvement in symptoms and diminished nonsteroidal antiinflammatory drug (NSAID) usage.",2,0.5
107,"In addition, many psychiatric disorders, particularly mobd and major depressive dsyn (MDD), have shown positive results when supplementation has been used as an adjunct to standard pharmacotherapy.",2,0.666666667
108,"Specifically, according to preliminary clinical evidence, parenteral administration of fatty acids warrants further study.",1,-1
109,"A predictive nomogram, which incorporates six variables easily ascertainable at the first prenatal visit, has been developed that allows the determination of a patient-specific chance for successful VBAC for those women who undertake trial of labor.",2,2.333333333
110,"All smokers, irrespective of their lung function, tried to modify their habit as the result of screening for COPD combined with smoking cessation advice.",1,0
111,"Older age, lower tobacco exposure, and lower lung function were the predictors of success in quitting smoking.",2,1
112,DDS had inverse association with metabolic dsyn and some of its features in this cross-sectional study.,1,2
113,"A higher dietary diversity, therefore, might be associated with lower possibility of having some metabolic disorders.",2,1
114,"Significant associations exist between dietary patterns identified by factor analysis, the metabolic syndrome, and insulin resistance.",1,1
