id,sen,lab
1,Our results indicate that the injection of corticosteroids to patients with shoulder pain due to soft tissue disorders under the USG-guidance may improve therapeutic effectiveness and reduce adverse effects.,2
2,"For a given anesthesia condition, the Mogen clamp is associated with a less painful procedure than the Gomco.",2
3,No statistical difference was found in the efficacy of citalopram and risperidone for the treatment of either agitation or psychotic symptoms in patients with dementia.,0
4,These findings need to be replicated before citalopram or other serotonergic antidepressants can be recommended as alternatives to antipsychotics for the treatment of agitation or psychotic symptoms associated with dementia.,1
5,We conclude that losartan alone or in combination with HCTZ was generally well tolerated and effective in the treatment of elevated systolic and diastolic BP in obese patients with hypertension.,2
6,"There is a real, immediate improvement in breastfeeding, detectable by the mother, which is sustained and does not appear to be due to a placebo effect.",1
7,"In an unselected birth cohort, more than one in four children had wheezing that persisted from childhood to adulthood or that relapsed after remission.",0
8,"The factors predicting persistence or relapse were sensitization to house dust mites, airway hyperresponsiveness, female sex, smoking, and early age at onset.",1
9,"These findings, together with persistently low lung function, suggest that outcomes in adult asthma may be determined primarily in early childhood.",1
10,"This study was a negative study, though there was a suggestion of benefit of methylprednisolone acetate in a population of young adults with acute radicular low back pain.",0
11,"Among patients at high risk for cardiovascular events but without diabetes, targeting a systolic blood pressure of less than 120 mm Hg, as compared with less than 140 mm Hg, resulted in lower rates of fatal and nonfatal major cardiovascular events and death from any cause, although significantly higher rates of some adverse events were observed in the intensive-treatment group.",2
12,"US guidance significantly improves the accuracy of joint injection, allowing a trainee to rapidly achieve higher accuracy than more experienced rheumatologists.",2
13,The procedure of a delayed cord clamping time of at least 30 s is safe to use and does not compromise the preterm infant in the initial post-partum adaptation phase.,1
14,"Our results suggest that ""medical expulsive therapy,"" using either alpha-antagonists or calcium channel blockers, augments the stone expulsion rate compared to standard therapy for moderately sized distal ureteral stones.",2
15,This systematic review aims to evaluate the benefit and side effect of Xuezhikang for coronary heart disease (CHD) complicated by dyslipidemia.,1
16,All randomized clinical trials (RCTs) with Xuezhikang as a treatment for CHD combined with dyslipidemia were considered for inclusion.,1
17,Data extraction and analyses and quality assessment were conducted according to the Cochrane standards.,1
18,"Xuezhikang showed significant benefit on the incidence of all-cause deaths, CHD deaths, myocardial infarction, and revascularization as compared with placebo based on conventional treatment for CHD.",2
19,"It remarkably lowered total cholesterol (TC), triglyceride (TG), and low-density lipoprotein-cholesterol (LDL-C) as compared with the placebo or inositol nicotinate group, which was similar to statins group.",2
21,Xuezhikang showed a comprehensive lipid-regulating effect and was safe and effective in reducing cardiovascular events in CHD patients complicated by dyslipidemia.,2
22,"Bimanual pelvic examination has marked limitations for evaluating adnexa, even with ideal circumstances.",0
23,"Patient characteristics such as obesity, uterine size, and abdominal scars limit the accurate palpation of the adnexa.",0
24,"Nitrofurantoin is actively transported into human milk, achieving concentrations in milk greatly exceeding those in serum.",2
26,We found insufficient evidence to determine whether acupuncture is effective for controlling menopausal vasomotor symptoms.,1
27,"When we compared acupuncture with sham acupuncture, there was no evidence of a significant difference in their effect on menopausal vasomotor symptoms.",1
28,"When we compared acupuncture with no treatment there appeared to be a benefit from acupuncture, but acupuncture appeared to be less effective than HT.",2
29,These findings should be treated with great caution as the evidence was low or very low quality and the studies comparing acupuncture versus no treatment or HT were not controlled with sham acupuncture or placebo HT.,1
30,"Childhood ADHD predicts specific adult psychiatric disorders, namely antisocial and drug abuse disorders.",1
31,"In the adolescent outcome of this cohort, we found that these disturbances were dependent on the continuation of ADHD symptoms.",1
32,"In contrast, in adulthood, antisocial and drug disorders appeared, in part, independent of sustained ADHD.",1
33,"In addition, regardless of psychiatric status, ADHD placed children at relative risk for educational and vocational disadvantage.",0
34,The results do not support a relationship between childhood ADHD and adult mood or anxiety disorders.,1
35,Drugs commonly used to treat PCOS appear to be associated with very low risk of severe adverse effects although data are extrapolated from other populations.,2
36,Patients subjectively reported significantly greater relief from symptoms with Debacterol than with Kenalog-in-Orabase or no treatment.,2
37,"The relief of symptoms associated with recurrent aphthous stomatitis may or may not correspond to clinical improvement, and these two topical medications may affect signs and symptoms of the lesions differently.",1
38,"On the basis of these and other findings on pain prevention and amelioration, we recommend that a local anesthetic be administered in advance of circumcision and that the Mogen procedure be used, unless contraindicated.",1
39,"We also recommend that infants be given a sweetened pacifier before, during, and after circumcision if the Gomco method is used.",1
40,A more active approach to the diagnosis and management of precursor lesions may often prevent the development of vulvar cancer.,2
41,Ankyloglossia is a relatively common finding in the newborn population and represents a significant proportion of breastfeeding problems.,1
42,"Careful assessment of the lingual function, followed by frenuloplasty when indicated, seems to be a successful approach to the facilitation of breastfeeding in the presence of significant ankyloglossia.",2
43,"Ankyloglossia, which is a relatively common finding in the newborn population, adversely affects breastfeeding in selected infants.",0
44,Neither an antibiotic nor a topical steroid alone or in combination was effective as a treatment for acute sinusitis in the primary care setting.,0
45,Currently there are relatively few studies of antidepressants for the treatment of agitation and psychosis in dementia.,1
46,The SSRIs sertraline and citalopram were associated with a reduction in symptoms of agitation when compared to placebo in two studies.,2
47,"Both SSRIs and trazodone appear to be tolerated reasonably well when compared to placebo, typical antipsychotics and atypical antipsychotics.",2
48,"Future studies involving more subjects are required to determine if SSRIs, trazodone, or other antidepressants are safe and effective treatments for agitation and psychosis in dementia.",1
49,Evidence suggests that the mode of action of bupropion and nortriptyline is independent of their antidepressant effect and that they are of similar efficacy to nicotine replacement.,2
50,"Evidence also suggests that bupropion is less effective than varenicline, but further research is needed to confirm this finding.",0
51,Atypical antipsychotic use is associated with an increased risk for death compared with nonuse among older adults with dementia.,0
52,The risk for death may be greater with conventional antipsychotics than with atypical antipsychotics.,0
53,"There is no consistent evidence that anxiolytics aid smoking cessation, but the available evidence does not rule out a possible effect.",1
54,"In this systematic review we present information relating to the effectiveness and safety of the following interventions: analgesics (local), carbenoxolone mouthwash, chlorhexidine (and similar agents), corticosteroids (topical), and tetracycline antibiotic mouthwash.",2
56,"The SFA Scale is a reliable, valid, and accurate measure of shoulder function in patients with RA that can be completed within 3 minutes.",2
57,"We meta-analyzed more and newer research results, and separated women according to menopausal status to explore soy isoflavone-breast cancer association.",1
58,We founded that soy isoflavone intake could lower the risk of breast cancer for both pre- and post-menopausal women in Asian countries.,2
59,"However, for women in Western countries, pre- or post-menopausal, there is no evidence to suggest an association between intake of soy isoflavone and breast cancer.",1
60,The majority of infants with wheezing have transient conditions associated with diminished airway function at birth and do not have increased risks of asthma or allergies later in life.,2
61,"In a substantial minority of infants, however, wheezing episodes are probably related to a predisposition to asthma.",1
62,One week of continuous auricular acupuncture decreases the pain and disability experienced by women with pregnancy-related low back and posterior pelvic pain.,2
63,"Based on these findings and those of prior studies, once-daily AzA 15% gel can therefore be utilized as a safe, effective, and economical dosing option for the treatment of mild-to-moderate papulopustular rosacea.",2
64,Once-daily dosing of AzA 15% gel was well accepted by patients and can offer considerable dosing flexibility and convenience for the patient as well as for the dermatologist.,2
65,"These bioflavonoids improve early outcomes in cadaveric renal transplantation, possibly through HO-1 induction.",2
66,"It can thus be concluded that in the management of rosacea, basic skin care regimens, including daily use of a therapeutic moisturizer, offer optimal benefits.",2
67,"The CDP was a randomized, placebo-controlled clinical trial of lipid-modifying agents in men with previous myocardial infarction (MI).",1
69,"Patients treated with niacin (n = 1,119) and placebo (n = 2,787) were grouped according to the presence or absence of the MS at baseline.",1
70,"The MS was defined on the basis of meeting > or =3 of 5 criteria from the current National Cholesterol Education Program guidelines in a small subgroup of patients with high-density lipoprotein cholesterol determinations at baseline and on the basis of > or =3 of 4 criteria in the total population, excluding the high-density lipoprotein cholesterol criterion.",1
72,"In conclusion, these results support the use of niacin in postinfarction patients with and without the MS.",2
73,"This study demonstrates that, when used in conjunction with DPNB, a pacifier dipped in 24% sucrose and a more comfortable, padded, and physiologic restraint can be useful in decreasing distress and pain.",2
74,"The uncertain quality of identified trials highlights the need for improved reporting of study methods, particularly with regards to allocation concealment and the handling of incomplete outcome data.",0
75,"The effect of black cohosh on other important outcomes, such as health-related quality of life, sexuality, bone health, night sweats and cost-effectiveness also warrants further investigation.",1
76,"At the present time, evidence from randomized trials does not support blood pressure targets lower than the standard targets in people with elevated blood pressure and diabetes.",1
77,"More randomized controlled trials are needed, with future trials reporting total mortality, total serious adverse events as well as cardiovascular and renal events.",1
79,"However, problems with standardization and safety concerns may limit their applicability in clinical practice.",1
80,"Whole-grain intake, largely attributed to the cereal fiber, is inversely associated with HOMA-IR and a lower prevalence of the metabolic syndrome.",1
81,Dietary glycemic index is positively associated with HOMA-IR and prevalence of the metabolic syndrome.,1
82,"Given that both a high cereal fiber content and lower glycemic index are attributes of whole-grain foods, recommendation to increase whole-grain intake may reduce the risk of developing the metabolic syndrome.",2
83,"The results of this study demonstrate that intake of 1, 3, or 6 g of cinnamon per day reduces serum glucose, triglyceride, LDL cholesterol, and total cholesterol in people with type 2 diabetes and suggest that the inclusion of cinnamon in the diet of people with type 2 diabetes will reduce risk factors associated with diabetes and cardiovascular diseases.",2
