,id,sen,lab,umls
0,762,these effect could possibl be mediat through colon ferment ,1,these effect could possibl be mediat through colon ferment 
1,371,singl dose famciclovir reduc time to heal of herp labiali lesion by approxim digit day compar with placebo ,2,singl dose famciclovir reduc time to heal of herp DSYN labiali lesion by approxim digit day compar with placebo 
2,357,these find need care consider in judg whether a co ordin popul base screen programm should be introduc ,1,these find need care consider in judg whether a co ordin popul base screen programm should be introduc 
3,1271,the relationship for alt appear specif for death due to cardiovascular diseas ,1,the relationship for alt appear specif for death due to cardiovascular diseas DSYN 
4,291,two patient report a partial and digit patient a complet reliev of motor restless while receiv pergolid ,2,two patient report a partial and digit patient a complet reliev of motor restless while receiv pergolid 
5,359,trial of intervent demonstr improv in some outcom measur  but conclus and generaliz are limit ,2,trial of intervent demonstr improv in some outcom measur  but conclus and generaliz are limit 
6,385,studi are need to clarifi the risk of stroke among user who may be suscept on the basi of age  smoke  obes  hypertens  or migrain histori ,1,studi are need to clarifi the risk of stroke DSYN among user who may be suscept on the basi of age  smoke  obes DSYN  hypertens DSYN  or migrain DSYN histori 
7,332,the rate of spontan passag of ureter stone doe vari with stone size and locat a determin by ct ,1,the rate of spontan passag of ureter stone doe vari with stone size and locat a determin by ct 
8,1347,the point applic in summer for the prevent in winter reduc the attack frequenc of pediatr pneumonia  shorten the sick durat and ha achiev the better signific efficaci in the case of lower age  shorter sick durat  le attack frequenc and moder skin reaction ,2,the point applic in summer for the prevent in winter reduc the attack frequenc of pediatr pneumonia DSYN  shorten the sick durat and ha achiev the better signific efficaci in the case of lower age  shorter sick durat  le attack frequenc and moder skin reaction 
9,355,in select patient  surgeri promot larg amount of weight loss with rare but sometim sever complic ,0,in select patient  surgeri promot larg amount of weight loss with rare but sometim sever complic PATF 
10,207,infect woman can be reassur that the maximum possibl risk of a congenit abnorm due to bdigit is under digit  and that long term develop will be normal ,1,infect DSYN woman can be reassur that the maximum possibl risk of a congenit abnorm due to bdigit is under digit  and that long term develop will be normal 
11,215,intern cough guidelin recommend that a trial of ic should onli be consid in patient after thorough evalu includ chest x ray and consider of spirometri and other appropri investig ,1,intern cough guidelin recommend that a trial of ic CGAB should onli be consid in patient after thorough evalu includ chest x ray and consider of spirometri and other appropri investig 
12,194,febuxostat  at a daili dose of digit mg or digit mg  wa more effect than allopurinol at the common use fix daili dose of digit mg in lower serum urat ,2,febuxostat  at a daili dose of digit mg or digit mg  wa more effect than allopurinol at the common use fix daili dose of digit mg in lower serum urat 
13,763,the propos treatment is not le effect compar with the mcdonald trial ,2,the propos treatment is not le effect compar with the mcdonald trial 
14,315,in the postmatch group  prescript of ace inhibitor wa associ with a signific decreas in the risk of digit year mortal  hazard ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit  ,2,in the postmatch group  prescript of ace inhibitor wa associ with a signific decreas in the risk of digit year mortal  hazard ratio digit digit  digit  confid interv digit digit to digit digit  p   digit digit  
15,127,our result demonstr that drug induc suppress of phk activ is associ with resolut of psoriat activ a assess by clinic  histolog and immunohistochem criterion  and support the hypothesi that effect antipsoriat activ may be achiev through modul of phk activ ,1,our result demonstr that drug induc suppress PATF of phk activ is associ with resolut of psoriat activ a assess by clinic  histolog and immunohistochem criterion  and support the hypothesi that effect antipsoriat activ may be achiev through modul of phk activ 
16,49,evid suggest that the mode of action of bupropion and nortriptylin is independ of their antidepress effect and that they are of similar efficaci to nicotin replac ,2,evid suggest that the mode of action of bupropion and nortriptylin is independ of their antidepress effect and that they are of similar efficaci to nicotin replac 
17,52,the risk for death may be greater with convent antipsychot than with atyp antipsychot ,0,the risk for death may be greater with convent antipsychot than with atyp antipsychot 
18,622,passiv self ligat bracket and convent bracket can caus root resorpt  but the differ wa not signific ,1,passiv self ligat bracket and convent bracket can caus root resorpt  but the differ wa not signific 
19,40,a more activ approach to the diagnosi and manag of precursor lesion may often prevent the develop of vulvar cancer ,2,a more activ approach to the diagnosi and manag of precursor lesion may often prevent the develop of vulvar cancer NEOP 
20,1408,use epic to estim the degre of distort in digit dwi brain tumor imag enabl the creation of a topograph atlas of dwi distort across the brain ,1,use epic to estim the degre of distort ANAB in digit dwi MOBD brain tumor NEOP imag enabl the creation of a topograph atlas of dwi MOBD distort ANAB across the brain 
21,398,in contrast  there is mount evid that low serum t is associ with greater prostat cancer risk  and more worrisom featur of prostat cancer ,0,in contrast  there is mount evid that low serum t is associ with greater prostat cancer NEOP risk  and more worrisom featur of prostat cancer NEOP 
22,107,in addit  mani psychiatr disord  particular schizophrenia and major depress disord  mdd   have shown posit result when supplement ha been use a an adjunct to standard pharmacotherapi ,2,in addit  mani psychiatr disord DSYN  particular schizophrenia MOBD and major depress MOBD disord DSYN  mdd MOBD   have shown posit result when supplement ha been use a an adjunct to standard pharmacotherapi 
23,263,the coexist of oral contracept use  high blood pressur  or smoke seem to exert a greater than multipl effect on the risk of ischaem stroke associ with migrain ,0,the coexist of oral contracept use  high blood pressur  or smoke seem to exert a greater than multipl effect on the risk of ischaem stroke DSYN associ with migrain DSYN 
24,691,compar with the tradit method  small incis punctur tracheostomi is le time consum  with fewer trauma  and fewer intraop and postop complic ,2,compar with the tradit method  small incis INPO punctur INPO tracheostomi is le time consum  with fewer trauma INPO  and fewer intraop and postop complic PATF 
25,500,xfc could elev clinic efficaci of a patient and enhanc their autophagi  which might be achiev by act on pidigitk akt mtor signal  affect autophagi gene and autophagi protein express  take part in the regul of prolifer and differenti of lymphocyt b  and strengthen humor immun ,2,xfc could elev clinic efficaci of a patient and enhanc their autophagi  which might be achiev by act on pidigitk akt mtor signal  affect autophagi gene and autophagi protein express  take part in the regul of prolifer PATF and differenti of lymphocyt b  and strengthen humor immun 
26,649,in construct worker  integr nutrit intervent at the individu  group and environment level had an impact in nutrit and biochem indic ,1,in construct worker  integr nutrit intervent at the individu  group and environment level had an impact in nutrit and biochem indic 
27,77,more random control trial are need  with futur trial report total mortal  total serious advers event a well a cardiovascular and renal event ,1,more random control trial are need  with futur trial report total mortal  total serious advers event a well a cardiovascular and renal event 
28,582,earli screen of these disord and prompt tailor pharmacolog and behavior intervent can potenti reduc cocain use and improv respons to mmt ,2,earli screen of these disord DSYN and prompt tailor pharmacolog and behavior intervent can potenti reduc cocain use and improv respons to mmt 
29,278,with care preoper evalu and patient select  resect of a symptomat interdigit neuroma through a dorsal approach can result in a high percentag of success result more than five year follow the procedur ,2,with care preoper evalu and patient select  resect of a symptomat interdigit neuroma NEOP through a dorsal approach can result in a high percentag of success result more than five year follow the procedur 
30,95,to the best of our knowledg this is the first clinic trial that support this indic for saffron ,1,to the best of our knowledg this is the first clinic trial that support this indic for saffron 
31,166,at all dos studi  febuxostat more effect lower and maintain serum urat level <digit digit mg dl than did allopurinol  digit or digit mg  or placebo in subject with hyperuricemia and gout  includ those with mild to moder impair renal function ,2,at all dos studi  febuxostat more effect lower and maintain serum urat level <digit digit mg dl than did allopurinol  digit or digit mg  or placebo in subject with hyperuricemia DSYN and gout DSYN  includ those with mild to moder impair PATF renal function 
32,1360,howev  further studi is need to compar the differ between degarelix monotherapi and these combin ,1,howev  further studi is need to compar the differ between degarelix monotherapi and these combin 
33,149,with losartan  treadmil exercis time increas from digit     digit to digit     digit second  p   digit digit   and qualiti of life improv from digit     digit to digit     digit  p   digit digit  without a chang in oxygen consumpt  digit digit     digit to digit digit     digit ml min  p   digit digit  ,2,with losartan  treadmil exercis time increas from digit     digit to digit     digit second  p   digit digit   and qualiti of life improv from digit     digit to digit     digit  p   digit digit  without a chang in oxygen consumpt  digit digit     digit to digit digit     digit ml min  p   digit digit  
34,651,in this open label  random trial involv patient with local advanc pancreat cancer with diseas control after digit month of induct chemotherapi  there wa no signific differ in overal surviv with chemoradiotherapi compar with chemotherapi alon and there wa no signific differ in overal surviv with gemcitabin compar with gemcitabin plus erlotinib use a mainten therapi ,0,in this open label  random trial involv patient with local advanc pancreat cancer NEOP with diseas DSYN control after digit month of induct chemotherapi  there wa no signific differ in overal surviv with chemoradiotherapi compar with chemotherapi alon and there wa no signific differ in overal surviv with gemcitabin compar with gemcitabin plus erlotinib use a mainten therapi 
35,177,this studi confirm the benefici effect of caiapo on plasma glucos a well a cholesterol level in patient with type digit diabet ,2,this studi confirm the benefici effect of caiapo on plasma glucos a well a cholesterol level in patient with type digit diabet DSYN 
36,1284,the safeti profil of ct pdigit wa also similar to that of rp ,1,the safeti profil of ct pdigit wa also similar to that of rp 
37,620,our find suggest in vivo train should be includ to facilit profici with devic specif intub techniqu ,1,our find suggest in vivo train should be includ to facilit profici with devic specif intub techniqu 
38,1371,the therapi present the long term clinic effect and deserv to be promot in clinic practic ,1,the therapi present the long term clinic effect and deserv to be promot in clinic practic 
39,688,concern the inguin hernia repair we found better postop pain score and digit hour reduct of the morphin consumpt in group iii  ga and tap d block  compar with group i  ga  and group ii  ga   tap block  ,2,concern the inguin hernia ANAB repair we found better postop pain score and digit hour reduct of the morphin consumpt in group iii  ga and tap d block PATF  compar with group i  ga  and group ii  ga   tap block PATF  
40,21,xuezhikang show a comprehens lipid regul effect and wa safe and effect in reduc cardiovascular event in chd patient complic by dyslipidemia ,2,xuezhikang show a comprehens lipid regul effect and wa safe and effect in reduc cardiovascular event in chd patient complic PATF by dyslipidemia DSYN 
41,720,sipsmart also yield small  yet signific  improv in bmi ,2,sipsmart also yield small  yet signific  improv in bmi 
42,1269,regard the improv in foul breath  the effect in the palmar thumb surfac group is better than that in the radial margin group ,2,regard the improv in foul breath  the effect in the palmar thumb surfac group is better than that in the radial margin group 
